parish,county,from_year,to_year,comments,district,source_url
Brereton,Staffordshire,1988,1988,"Created 1.4.1988 out of the Cannock Chase unparished area. 
    Renamed 8.9.1988 to become the parish of Brereton & Ravenhill.",Cannock Chase,http://www.ukbmd.org.uk/reg/districts/cannock%20chase.html
Brereton & Ravenhill,Staffordshire,1988,2008,"Created 8.9.1988 by renaming the parish of Brereton. See also Table 2, note (c).",Cannock Chase,http://www.ukbmd.org.uk/reg/districts/cannock%20chase.html
Bridgtown,Staffordshire,1988,2008,"Created 1.4.1988 out of the Cannock Chase unparished area. See also Table 2, note (c).",Cannock Chase,http://www.ukbmd.org.uk/reg/districts/cannock%20chase.html
Brindley Heath,Staffordshire,1974,2008,"See also Table 2, notes (b) and (c).",Cannock Chase,http://www.ukbmd.org.uk/reg/districts/cannock%20chase.html
Cannock Chase*,Staffordshire,1974,2008,"Unparished area which until 1.4.1974 formed the parishes of Cannock 
    and Rugeley. See also Table 2, notes (a) to (c).",Cannock Chase,http://www.ukbmd.org.uk/reg/districts/cannock%20chase.html
Cannock Wood,Staffordshire,1988,2008,"Created 1.4.1988 out of the Cannock Chase unparished area. See also Table 2, note (c).",Cannock Chase,http://www.ukbmd.org.uk/reg/districts/cannock%20chase.html
Heath Hayes & Wimblebury,Staffordshire,1988,2008,"Created 1.4.1988 out of the Cannock Chase unparished area. See also Table 2, note (c).",Cannock Chase,http://www.ukbmd.org.uk/reg/districts/cannock%20chase.html
Hednesford,Staffordshire,2000,2008,"Created 1.4.2000 out of the Cannock Chase unparished area. See also Table 2, note (c).",Cannock Chase,http://www.ukbmd.org.uk/reg/districts/cannock%20chase.html
Norton Canes,Staffordshire,1988,2008,"Created 1.4.1988 out of the Cannock Chase unparished area. See also Table 2, note (c).",Cannock Chase,http://www.ukbmd.org.uk/reg/districts/cannock%20chase.html
Rugeley,Staffordshire,1988,2008,"Created 1.4.1988 out of the Cannock Chase unparished area. See also Table 2, note (c).",Cannock Chase,http://www.ukbmd.org.uk/reg/districts/cannock%20chase.html
