parish,county,from_year,to_year,comments,district,source_url
Aberayron,Cardiganshire,1936,1974,"Renamed 1.4.1974 to become the community of Aberaeron. See also 
    Table 2, note (a).",Cardiganshire Central,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20central.html
Bettws Lleucu,Cardiganshire,1936,1974,"Renamed 1.4.1974 to become the community of Betws Leucu. See also 
    Table 2, note (c).",Cardiganshire Central,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20central.html
Blaenpenal,Cardiganshire,1936,1974,"See Table 2, note (c).",Cardiganshire Central,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20central.html
Caron is Clawdd,Cardiganshire,1936,1974,"See Table 2, note (c).",Cardiganshire Central,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20central.html
Caron Uwch Clawdd,Cardiganshire,1936,1974,"See Table 2, note (c).",Cardiganshire Central,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20central.html
Cellan,Cardiganshire,1936,1974,"See Table 2, note (b).",Cardiganshire Central,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20central.html
Cilcennin,Cardiganshire,1936,1974,"See Table 2, note (a).",Cardiganshire Central,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20central.html
Ciliau Aeron,Cardiganshire,1936,1974,"See Table 2, note (a).",Cardiganshire Central,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20central.html
Dihewid,Cardiganshire,1936,1974,"See Table 2, note (a).",Cardiganshire Central,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20central.html
Gartheli,Cardiganshire,1936,1974,"See Table 2, note (c).",Cardiganshire Central,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20central.html
Gwnnws Isa,Cardiganshire,1936,1974,"See Table 2, note (c).",Cardiganshire Central,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20central.html
Gwynfil,Cardiganshire,1936,1974,"See Table 2, note (c).",Cardiganshire Central,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20central.html
Henfynyw Upper,Cardiganshire,1936,1974,"See Table 2, note (a).",Cardiganshire Central,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20central.html
Lampeter Rural,Cardiganshire,1936,1974,"See Table 2, note (b).",Cardiganshire Central,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20central.html
Lampeter Urban,Cardiganshire,1936,1974,"Renamed 1.4.1974 to become the community of Lampeter. See also 
    Table 2, note (b).",Cardiganshire Central,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20central.html
Llanarth,Cardiganshire,1936,1968,"See Table 2, notes (a) and (d).",Cardiganshire Central,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20central.html
