parish,county,from_year,to_year,comments,district,source_url
Aberporth,Cardiganshire,1936,1974,"See Table 2, note (a).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
Bettws Evan,Cardiganshire,1936,1974,"See Table 2, notes (b) and (c).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
Brongwyn,Cardiganshire,1936,1974,"See Table 2, note (c).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
Cardigan,Cardiganshire,1936,1974,"See Table 2, note (a).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
Cardigan Island,Cardiganshire,1936,1974,"Abolished 1.4.1974 and added to the community of Verwig. See also Table 2, note (a).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
Llanarth,Cardiganshire,1968,1974,"See Table 2, note (e).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
Llandisiliogogo,Cardiganshire,1968,1974,"Renamed 1.4.1974 to become the community of Llandyssiliogogo. 
    See also Table 2, note (e).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
Llandyfriog,Cardiganshire,1936,1974,"See Table 2, note (c).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
Llandygwydd,Cardiganshire,1936,1974,"See Table 2, notes (a) and (d).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
Llandyssul,Cardiganshire,1936,1974,"See Table 2, note (c).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
Llangoedmore,Cardiganshire,1936,1974,"Renamed 1.4.1974 to become the community of Llangoedmor. See also 
    Table 2, note (a).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
Llangranog,Cardiganshire,1936,1974,"See Table 2, note (c).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
Llangunllo,Cardiganshire,1936,1974,"Renamed 1.4.1974 to become the community of Llangynllo. See also 
    Table 2, note (c).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
Llanina,Cardiganshire,1968,1974,"See Table 2, note (e).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
Llanllwchaiarn,Cardiganshire,1968,1974,"See Table 2, note (e).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
New Quay,Cardiganshire,1968,1974,"See Table 2, note (e).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
Orllwyn Teifi,Cardiganshire,1936,1974,"See Table 2, note (c).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
Penbryn,Cardiganshire,1936,1974,"See Table 2, note (c).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
Troedyraur,Cardiganshire,1936,1974,"See Table 2, note (c).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
Verwig,Cardiganshire,1936,1974,"See Table 2, note (a).",Cardiganshire South,http://www.ukbmd.org.uk/reg/districts/cardiganshire%20south.html
