parish,county,from_year,to_year,comments,district,source_url
Ackton,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Allerton Bywater,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Beal,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Brotherton,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Burton Salmon,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Carleton,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Castleford,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Darrington,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Fairburn,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Featherstone,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Ferry Fryston,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Garforth,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Glass Houghton,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Great & Little Preston,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Kippax,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Ledsham,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Ledston,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Methley,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Micklefield,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Pontefract Park,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Purston Jaglin,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
South Milford,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Sutton,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
Whitwood,Yorkshire West Riding,1862,1867,"See Table 2, notes (a) and (b).",Castleford,http://www.ukbmd.org.uk/reg/districts/castleford.html
