parish,county,from_year,to_year,comments,district,source_url
Allhallows,Kent,1941,1998,"See Table 2, notes (d) and (i).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Chatham,Kent,1941,1974,"Abolished 1.4.1974 and added to the Medway unparished area. See also Table 
    2, note (c).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Cliffe,Kent,1941,1997,"Abolished 1.4.1997 and divided between the parishes of Cliffe & 
    Cliiffe Woods and Frindsbury Extra. See also Table 2, note (d).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Cliffe & Cliffe Woods,Kent,1997,1998,"Created 1.4.1997 out of the parishes of Cliffe and Frindsbury 
    Extra. See also Table 2, note (i).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Cobham,Kent,1941,1974,"See Table 2, notes (d) and (g).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Cooling,Kent,1941,1998,"See Table 2, notes (d) and (i).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Cuxton,Kent,1941,1998,"See Table 2, notes (d) and (i).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Frindsbury Extra,Kent,1941,1998,"See Table 2, notes (d) and (i).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Gillingham,Kent,1941,1974,"Abolished 1.4.1974 to become the Gillingham unparished area. See also Table 
    2, notes (b) and (c).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Gillingham*,Kent,1974,1998,"Unparished area which until 1.4.1974 formed the parish of Gillingham. See also Table 2, notes 
    (h) and (i).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Gravesend,Kent,1941,1952,"See Table 2, notes (a), (d) and (e).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Halling,Kent,1941,1998,"See Table 2, notes (d) and (i).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
High Halstow,Kent,1941,1998,"See Table 2, notes (d) and (i).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Higham,Kent,1941,1974,"See Table 2, notes (d) and (g).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Hoo,Kent,1941,1968,"Abolished 1.4.1968 and divided between the parishes of Hoo St. 
    Werburgh and Frindsbury Extra. See also Table 2, note (d).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Hoo St. Werburgh,Kent,1968,1998,"Created 1.4.1968 out of the parishes of Hoo, Cooling and Frindsbury 
    Extra. See also Table 2, note (i).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Isle of Grain,Kent,1941,1998,"See Table 2, notes (d) and (i).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Luddesdown,Kent,1941,1974,"See Table 2, notes (d) and (g).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Medway*,Kent,1974,1979,"Unparished area which until 1.4.1974 formed the parishes of 
    Medway and Rochester. Renamed 3.12.1979 to become the Rochester & Medway 
    unparished area.",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Meopham,Kent,1941,1974,"See Table 2, notes (d), (f) and (g).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Northfleet,Kent,1941,1952,"See Table 2, notes (d) and (e).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Rochester,Kent,1941,1974,"Abolished 1.4.1974 and added to the Medway unparished area. See also Table 
    2, notes (c) and (d).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Rochester & Medway*,Kent,1979,1998,"Created 3.12.1979 by renaming the Medway unparished area. See also Table 2, note 
    (i).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Shorne,Kent,1941,1974,"See Table 2, notes (d) and (g).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
St. Mary Hoo,Kent,1941,1998,"See Table 2, notes (d) and (i).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
Stoke,Kent,1941,1998,"See Table 2, notes (d) and (i).",Chatham,http://www.ukbmd.org.uk/reg/districts/chatham.html
