parish,county,from_year,to_year,comments,district,source_url
Agden,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Aldersey,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Aldford,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Ashton,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Bache,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Backford,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Barrow,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Barton,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Beeston,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Bickley,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Bradley,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Bridge Trafford,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Broxton,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Bruen Stapleford,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Buerton,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Burton,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Burwardsley,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Caldecott,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Capenhurst,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Carden,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Caughall,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Chester,Cheshire,1974,1998,"Unparished area which until 1.4.1974 formed the parish of Chester. 
    See also Table 2, notes (a) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Chester Castle,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Chidlow,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Chorlton,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Chorlton by Backford,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Chowley,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
Christleton,Cheshire,1974,1998,"See Table 2, notes (b) and (g).",Chester & Ellesmere Port,http://www.ukbmd.org.uk/reg/districts/chester%20and%20ellesmere%20port.html
