parish,county,from_year,to_year,comments,district,source_url
Ascott under Wychwood,Oxfordshire,1837,1982,"See Table 2, note (f).",Chipping Norton,http://www.ukbmd.org.uk/reg/districts/chipping%20norton.html
Barton on the Heath,Warwickshire,1837,1932,"See Table 2, note (b).",Chipping Norton,http://www.ukbmd.org.uk/reg/districts/chipping%20norton.html
Blenheim,Oxfordshire,1954,1982,"Created 1.4.1954 out of the parishes of Blenheim Park and Hessington 
    Without. See also Table 2, note (f).",Chipping Norton,http://www.ukbmd.org.uk/reg/districts/chipping%20norton.html
Blenheim Park,Oxfordshire,1932,1954,"Abolished 1.4.1954 and added to the parish of Blenheim. See 
    also Table 2, notes (d) and (f).",Chipping Norton,http://www.ukbmd.org.uk/reg/districts/chipping%20norton.html
Bruern,Oxfordshire,1837,1982,"See Table 2, note (f).",Chipping Norton,http://www.ukbmd.org.uk/reg/districts/chipping%20norton.html
Chadlington,Oxfordshire,1837,1982,"See Table 2, note (f).",Chipping Norton,http://www.ukbmd.org.uk/reg/districts/chipping%20norton.html
Charlbury,Oxfordshire,1837,1982,"See Table 2, note (f).",Chipping Norton,http://www.ukbmd.org.uk/reg/districts/chipping%20norton.html
Chastleton,Oxfordshire,1837,1982,"See Table 2, note (f).",Chipping Norton,http://www.ukbmd.org.uk/reg/districts/chipping%20norton.html
Chilson,Oxfordshire,1837,1982,"See Table 2, note (f).",Chipping Norton,http://www.ukbmd.org.uk/reg/districts/chipping%20norton.html
Chipping Norton,Oxfordshire,1837,1982,"See Table 2, note (f).",Chipping Norton,http://www.ukbmd.org.uk/reg/districts/chipping%20norton.html
Churchill,Oxfordshire,1837,1982,"See Table 2, note (f).",Chipping Norton,http://www.ukbmd.org.uk/reg/districts/chipping%20norton.html
Combe,Oxfordshire,1932,1982,"See Table 2, notes (d) and (f).",Chipping Norton,http://www.ukbmd.org.uk/reg/districts/chipping%20norton.html
Cornbury & Wychwood,Oxfordshire,1949,1982,"Created 1.4.1949 from the parishes of Wychwood and Cornbury Park. 
    See also Table 2, note (f).",Chipping Norton,http://www.ukbmd.org.uk/reg/districts/chipping%20norton.html
