parish,county,from_year,to_year,comments,district,source_url
Ardwick,Lancashire,1837,1896,Abolished 26.3.1896 and added to the parish of South Manchester.,Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
Barton upon Irwell,Lancashire,1841,1849,"See Table 2, notes (a) and (b).",Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
Burnage,Lancashire,1837,1910,Abolished 1.10.1910 and added to the parish of South Manchester.,Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
Chorlton cum Hardy,Lancashire,1837,1910,Abolished 1.10.1910 and added to the parish of South Manchester.,Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
Chorlton upon Medlock,Lancashire,1837,1896,Abolished 26.3.1896 and added to the parish of South Manchester.,Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
Didsbury,Lancashire,1837,1910,Abolished 1.10.1910 and added to the parish of South Manchester.,Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
Flixton,Lancashire,1841,1849,"See Table 2, notes (a) and (b).",Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
Gorton,Lancashire,1837,1910,Abolished 1.10.1910 and added to the parish of South Manchester.,Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
Hulme,Lancashire,1837,1896,Abolished 26.3.1896 and added to the parish of South Manchester.,Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
Levenshulme,Lancashire,1837,1910,Abolished 1.10.1910 and added to the parish of South Manchester.,Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
Manchester,Lancashire,1916,1924,"That part which until 1.4.1916 formed the parish of South Manchester. 
    See also Table 2, note (f).",Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
Moss Side,Lancashire,1837,1910,Abolished 1.10.1910 and added to the parish of South Manchester.,Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
Openshaw,Lancashire,1837,1896,"Abolished 26.3.1896 and added to the parish of South Manchester. 
    See also Table 2, notes (c) and (d).",Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
Rushulme,Lancashire,1837,1896,Abolished 26.3.1896 and added to the parish of South Manchester.,Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
South Manchester,Lancashire,1896,1916,"Created 26.3.1896 out of the parishes of Hulme, Chorlton upon 
    Medlock, Ardwick, West Gorton, Openshaw and Rushulme. Abolished 1.4.1916 and added to the parish of Manchester. See also Table 2, note (e).",Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
Stretford,Lancashire,1837,1849,"See Table 2, note (b).",Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
Urmston,Lancashire,1841,1849,"See Table 2, notes (a) and (b).",Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
West Gorton,Lancashire,1894,1896,"Created 1894 from the part of the parish of Gorton in Manchester 
    County Borough. Abolished 26.3.1896 and added to the parish of South Manchester.",Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
Withington,Lancashire,1837,1910,Abolished 1.10.1910 and added to the parish of South Manchester.,Chorlton,http://www.ukbmd.org.uk/reg/districts/chorlton.html
