parish,county,from_year,to_year,comments,district,source_url
Bilsdale Midcable,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (g).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Brotton,Yorkshire North Riding,1936,1974,"Abolished 1.4.1974 and added to the Langbaurgh unparished 
    area. See also Table 2, notes (a) and (f).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Broughton,Yorkshire North Riding,1936,1974,"Renamed in the 1950s to become the parish of Great & Little 
    Broughton. See also Table 2, notes (b) and (g).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Carlton,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (g).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Castlelevington,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (d).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Crathorne,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (g).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Easby,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (g).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Easington,Yorkshire North Riding,1936,1974,"Abolished 1.4.1974 and added to the parish of Loftus. See 
    also Table 2, note (a).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
East Rounton,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (g).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Eston,Yorkshire North Riding,1936,1968,"Abolished 1.4.1968 and divided between the parishes of Teesside 
    and Guisborough. See also Table 2, notes (a) and (c).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Faceby,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (g).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Great Ayton,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (g).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Great Busby,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (g).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Guisborough,Yorkshire North Riding,1936,1974,"See Table 2, notes (a), (c) and (f)",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Hemlington,Yorkshire North Riding,1936,1968,"Abolished 1.4.1968 and added to the parish of Teesside. See 
    also Table 2, notes (a) and (c).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
High Worsall,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (g).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Hilton,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (g).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Hutton Lowcross,Yorkshire North Riding,1936,1974,"Abolished 1.4.1974 and added to the parish of Guisborough. 
    See also Table 2, notes (a) and (f).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Hutton Rudby,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (g).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Ingleby Arncliffe,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (g).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Ingleby Barwick,Yorkshire North Riding,1936,1974,"See Table 2, notes (a) and (d).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Ingleby Greenhow,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (g).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Kildale,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (g).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Kilton,Yorkshire North Riding,1936,1974,"Abolished 1.4.1974 and added to the Langbaurgh unparished 
    area. See also Table 2, notes (a) and (f).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
Kirby in Cleveland,Yorkshire North Riding,1936,1974,"Renamed in the 1950s to become the parish of Kirkby. See also Table 2, notes (b) 
    and (g).",Cleveland,http://www.ukbmd.org.uk/reg/districts/cleveland.html
