parish,county,from_year,to_year,comments,district,source_url
Clifton,Gloucestershire,1837,1877,"See Table 2, note (a).",Clifton,http://www.ukbmd.org.uk/reg/districts/clifton.html
Compton Greenfield,Gloucestershire,1837,1877,"See Table 2, note (a).",Clifton,http://www.ukbmd.org.uk/reg/districts/clifton.html
Filton,Gloucestershire,1837,1877,"See Table 2, note (a).",Clifton,http://www.ukbmd.org.uk/reg/districts/clifton.html
Henbury,Gloucestershire,1837,1877,"See Table 2, note (a).",Clifton,http://www.ukbmd.org.uk/reg/districts/clifton.html
Horfield,Gloucestershire,1837,1877,"See Table 2, note (a).",Clifton,http://www.ukbmd.org.uk/reg/districts/clifton.html
St. George,Gloucestershire,1837,1877,"See Table 2, note (a).",Clifton,http://www.ukbmd.org.uk/reg/districts/clifton.html
St. James & St. Paul Out,Gloucestershire,1837,1877,"See Table 2, note (a).",Clifton,http://www.ukbmd.org.uk/reg/districts/clifton.html
St. Philip & St. Jacob Out,Gloucestershire,1837,1877,"See Table 2, note (a).",Clifton,http://www.ukbmd.org.uk/reg/districts/clifton.html
Stapleton,Gloucestershire,1837,1877,"See Table 2, note (a).",Clifton,http://www.ukbmd.org.uk/reg/districts/clifton.html
Stoke Gifford,Gloucestershire,1837,1877,"See Table 2, note (a).",Clifton,http://www.ukbmd.org.uk/reg/districts/clifton.html
Westbury on Trym,Gloucestershire,1837,1877,"See Table 2, note (a).",Clifton,http://www.ukbmd.org.uk/reg/districts/clifton.html
Winterbourne,Gloucestershire,1837,1877,"See Table 2, note (a).",Clifton,http://www.ukbmd.org.uk/reg/districts/clifton.html
