parish,county,from_year,to_year,comments,district,source_url
Bedstone,Shropshire,1933,2005,"See Table 2, notes (a) and (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Bettws y Crwyn,Shropshire,1933,2005,"See Table 2, notes (a) and (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Bishop's Castle,Shropshire,1884,1894,"Created 25.3.1885 out of the parishes of Bishop's Castle In and 
    Bishop's Castle Out. Abolished 1894 to become the separate parishes of Bishop's Castle Urban and Bishop's Castle Rural.",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Bishop's Castle,Shropshire,1967,2005,"Created 1.4.1967 by renaming the parish of Bishop's Castle Urban. 
    See also Table 2, note (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Bishop's Castle In,Shropshire,1837,1884,Abolished 25.3.1885 and added to the parish of Bishop's Castle.,Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Bishop's Castle Out,Shropshire,1837,1884,Abolished 25.3.1885 and added to the parish of Bishop's Castle.,Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Bishop's Castle Rural,Shropshire,1894,1934,"Created 1894 from the rural part of the parish of Bishop's Castle. 
    Abolished 1.4.1934 and divided between the parishes of Colebatch and Lydham.",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Bishop's Castle Urban,Shropshire,1894,1967,"Created 1894 from the part of the parish of Bishop's Castle in 
    Bishop's Castle Municipal Borough. Renamed 1.4.1967 to become the parish of Bishop's Castle.",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Brompton & Rhiston,Shropshire,1935,1987,"Abolished 1.4.1987 and added to the parish of Chirbury with 
    Brompton. See also Table 2, note (d).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Bucknell,Shropshire,1933,2005,"See Table 2, notes (a) and (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Chirbury,Shropshire,1935,1987,"Abolished 1.4.1987 and added to the parish of Chirbury with 
    Brompton. See also Table 2, note (d).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Chirbury with Brompton,Shropshire,1987,2005,"Created 1.4.1987 out of the parishes of Brompton & Rhiston and Chirbury. See also Table 2, note 
    (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Churchstoke,Montgomeryshire,1933,1935,"That part which until 1.4.1933 formed the parishes of Hyssington and Snead. 
    See also Table 2, note (c).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Clun,Shropshire,1837,2005,"See Table 2, note (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Clunbury,Shropshire,1837,2005,"See Table 2, note (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
Clungunford,Shropshire,1837,2005,"See Table 2, notes (e) and (h).",Clun,http://www.ukbmd.org.uk/reg/districts/clun.html
