parish,county,from_year,to_year,comments,district,source_url
Bettws y Coed,Caernarvonshire,1937,1974,"Renamed 1.4.1974 to become the community of Betws y Coed. See 
    also Table 2, notes (b) and (c).",Conway Valley,http://www.ukbmd.org.uk/reg/districts/conway%20valley.html
Caerhun,Caernarvonshire,1937,1974,"See  Table 2, notes (b) and (c).",Conway Valley,http://www.ukbmd.org.uk/reg/districts/conway%20valley.html
Capel Curig,Caernarvonshire,1937,1974,"See 
     
    Table 2, notes (a), (b) and (c).",Conway Valley,http://www.ukbmd.org.uk/reg/districts/conway%20valley.html
Conway,Caernarvonshire,1937,1974,"Abolished 1.4.1974 and added to the community of Conwy. See 
    also Table 2, notes (b) and (c).",Conway Valley,http://www.ukbmd.org.uk/reg/districts/conway%20valley.html
Dolgarrog,Caernarvonshire,1937,1974,"See 
     
    Table 2, notes (b) and (c).",Conway Valley,http://www.ukbmd.org.uk/reg/districts/conway%20valley.html
Dolwyddelan,Caernarvonshire,1937,1974,"See 
     
    Table 2, notes (b) and (c).",Conway Valley,http://www.ukbmd.org.uk/reg/districts/conway%20valley.html
Dwygyfylchi,Caernarvonshire,1937,1974,"Renamed 1.4.1974 to become the community of Penmaenmawr. See also 
    Table 2, notes (b) and (c).",Conway Valley,http://www.ukbmd.org.uk/reg/districts/conway%20valley.html
Eidda,Caernarvonshire,1937,1974,"See 
     
    Table 2, notes (b) and (c).",Conway Valley,http://www.ukbmd.org.uk/reg/districts/conway%20valley.html
Gyffin,Caernarvonshire,1937,1974,"Abolished 1.4.1974 and added to the community of Conwy. See 
    also Table 2, notes (b) and (c).",Conway Valley,http://www.ukbmd.org.uk/reg/districts/conway%20valley.html
Henryd,Caernarvonshire,1937,1974,"See  Table 2, notes (b) and (c).",Conway Valley,http://www.ukbmd.org.uk/reg/districts/conway%20valley.html
Llanbedr y Cennin,Caernarvonshire,1937,1974,"See    Table 2, notes (b) and (c).",Conway Valley,http://www.ukbmd.org.uk/reg/districts/conway%20valley.html
Llandudno cum Eglwys Rhôs,Caernarvonshire,1937,1974,"Renamed 1.4.1974 to become the community of Llandudno. See also 
    Table 2, notes (b) and (c).",Conway Valley,http://www.ukbmd.org.uk/reg/districts/conway%20valley.html
Llanrhychwyn,Caernarvonshire,1937,1974,"See 
     
    Table 2, notes (b) and (c).",Conway Valley,http://www.ukbmd.org.uk/reg/districts/conway%20valley.html
Llanrhôs,Caernarvonshire,1937,1974,"Abolished 1.4.1974 and added to the community of Conwy. See 
    also Table 2, notes (b) and (c).",Conway Valley,http://www.ukbmd.org.uk/reg/districts/conway%20valley.html
Maenan,Caernarvonshire,1937,1974,"See  Table 2, notes (b) and (c).",Conway Valley,http://www.ukbmd.org.uk/reg/districts/conway%20valley.html
Penmachno,Caernarvonshire,1937,1974,"See 
     
    Table 2, notes (b) and (c).",Conway Valley,http://www.ukbmd.org.uk/reg/districts/conway%20valley.html
The Abbey,Caernarvonshire,1937,1974,"See 
     
    Table 2, notes (b) and (c).",Conway Valley,http://www.ukbmd.org.uk/reg/districts/conway%20valley.html
Trefriw,Caernarvonshire,1937,1974,"See 
     
    Table 2, notes (b) and (c).",Conway Valley,http://www.ukbmd.org.uk/reg/districts/conway%20valley.html
