parish,county,from_year,to_year,comments,district,source_url
Acton,Cheshire,1937,1974,"See Table 2, notes (d) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Alpraham,Cheshire,1937,1974,"See Table 2, notes (d) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Alsager,Cheshire,1937,1974,"See Table 2, notes (c) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Arclid,Cheshire,1937,1974,"See Table 2, notes (c) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Aston juxta Mondrum,Cheshire,1937,1974,"See Table 2, notes (d) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Audlem,Cheshire,1937,1974,"See Table 2, notes (d) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Austerson,Cheshire,1937,1974,"See Table 2, notes (d) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Baddiley,Cheshire,1937,1974,"See Table 2, notes (d) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Baddington,Cheshire,1937,1974,"See Table 2, notes (d) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Barthomley,Cheshire,1937,1974,"See Table 2, notes (d) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Basford,Cheshire,1937,1974,"See Table 2, notes (d) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Batherton,Cheshire,1937,1974,"See Table 2, notes (d) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Betchton,Cheshire,1937,1974,"See Table 2, notes (c) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Bickerton,Cheshire,1937,1974,"See Table 2, notes (d) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Blakenhall,Cheshire,1937,1974,"See Table 2, notes (d), (f) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Bradwall,Cheshire,1937,1974,"See Table 2, notes (c), (e) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Brereton,Cheshire,1937,1974,"See Table 2, notes (c) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Bridgemere,Cheshire,1937,1974,"See Table 2, notes (d) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Brindley,Cheshire,1937,1974,"See Table 2, notes (d) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Broomhall,Cheshire,1937,1974,"See Table 2, notes (d) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Buerton,Cheshire,1937,1974,"See Table 2, notes (d) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Bulkeley,Cheshire,1937,1974,"See Table 2, notes (d) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Bunbury,Cheshire,1937,1974,"See Table 2, notes (a), (d) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
Burland,Cheshire,1937,1974,"See Table 2, notes (d) and (i).",Crewe (1937-1974),http://www.ukbmd.org.uk/reg/districts/crewe.html
