parish,county,from_year,to_year,comments,district,source_url
Aintree,Lancashire,1934,1974,"See Table 2, notes (b), (d) and (f).",Crosby (1934-1980),http://www.ukbmd.org.uk/reg/districts/crosby.html
Altcar,Lancashire,1934,1974,"See Table 2, notes (a) and (h).",Crosby (1934-1980),http://www.ukbmd.org.uk/reg/districts/crosby.html
Ford,Lancashire,1934,1954,"Abolished 1.4.1954 and added to the parish of Litherland. 
    See also Table 2, notes (b) and (c).",Crosby (1934-1980),http://www.ukbmd.org.uk/reg/districts/crosby.html
Formby,Lancashire,1934,1974,"See Table 2, note (a). Abolished 1.4.1974 and added to 
    the Sefton unparished area.",Crosby (1934-1980),http://www.ukbmd.org.uk/reg/districts/crosby.html
Great Crosby,Lancashire,1934,1974,"See Table 2, note (b). Abolished 1.4.1974 and added to 
    the Sefton unparished area.",Crosby (1934-1980),http://www.ukbmd.org.uk/reg/districts/crosby.html
Ince Blundell,Lancashire,1934,1974,"See Table 2, note (b).",Crosby (1934-1980),http://www.ukbmd.org.uk/reg/districts/crosby.html
Litherland,Lancashire,1934,1974,"See Table 2, notes (b) and (c). Abolished 1.4.1974 and added to the Sefton unparished area.",Crosby (1934-1980),http://www.ukbmd.org.uk/reg/districts/crosby.html
Netherton,Lancashire,1934,1974,"See Table 2, notes (b), (c), (d) and (e).",Crosby (1934-1980),http://www.ukbmd.org.uk/reg/districts/crosby.html
Seaforth,Lancashire,1934,1974,"See Table 2, note (b). Abolished 1.4.1974 and added to 
    the Sefton unparished area.",Crosby (1934-1980),http://www.ukbmd.org.uk/reg/districts/crosby.html
Sefton,Lancashire,1934,1974,"See Table 2, notes (b), (c), (d) and (e).",Crosby (1934-1980),http://www.ukbmd.org.uk/reg/districts/crosby.html
Thornton,Lancashire,1934,1974,"See Table 2, note (b).",Crosby (1934-1980),http://www.ukbmd.org.uk/reg/districts/crosby.html
Waterloo,Lancashire,1934,1974,"See Table 2, note (b). Abolished 1.4.1974 and added to 
    the Sefton unparished area.",Crosby (1934-1980),http://www.ukbmd.org.uk/reg/districts/crosby.html
