parish,county,from_year,to_year,comments,district,source_url
Albourne,Sussex,1837,1889,,Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Ardingly,Sussex,1837,1889,,Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Balcombe,Sussex,1837,1889,,Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Bolney,Sussex,1837,1889,,Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Burgess Hill,East Sussex,1934,1974,"Created 1.4.1934 out of the parishes of Keymer Urban, Clayton 
    Urban, Ditchling, Wivelsfield and Clayton. See also Table 2, note (d).",Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Clayton,Sussex,1837,1889,,Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Clayton Urban,East Sussex,1894,1934,"Created 1894 from the part of the parish of Clayton in Burgess 
    Hill Urban District. Abolished 1.4.1934 and added to the parish of Burgess 
    Hill.",Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Cowfold,Sussex,1837,1889,"See Table 2, note (a).",Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Cuckfield,Sussex,1837,1889,"Abolished 1.4.1974 and added to the Mid Sussex unparished 
    area.",Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Cuckfield Rural,East Sussex,1894,1974,Created 1894 from the rural part of the parish of Cuckfield.,Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Fulking,East Sussex,1935,1974,"See Table 2, note (e).",Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Haywards Heath,East Sussex,1894,1974,"Created 1894 from the rural part of the parish of Cuckfield. Abolished 
    1.4.1974 and added to the Mid Sussex unparished area. See also Table 2, notes (d) and 
    (g).",Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Horsted Keynes,Sussex,1837,1889,"See Table 2, note (b).",Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Hurstpierpoint,Sussex,1837,1889,,Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Keymer,Sussex,1837,1889,,Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Keymer Urban,East Sussex,1894,1934,"Created 1894 from the part of the parish of Keymer in Burgess 
    Hill Urban District. Abolished 1.4.1934 and added to the parish of Burgess 
    Hill.",Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Lindfield,Sussex,1837,1889,"Abolished 1.4.1974 and added to the Mid Sussex unparished 
    area.",Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Lindfield Rural,East Sussex,1934,1974,Created 1.4.1934 out of the parish of Lindfield.,Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Newtimber,Sussex,1837,1889,,Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Poynings,East Sussex,1935,1974,"See Table 2, note (e).",Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Pyecombe,Sussex,1837,1889,,Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Slaugham,Sussex,1837,1889,"See Table 2, notes (f) and (h).",Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Twineham,Sussex,1837,1889,,Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
West Hoathly,East Sussex,1935,1974,"See Table 2, note (c).",Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
Worth,East Sussex,1935,1974,"See Table 2, notes (c), (f) and (g).",Cuckfield,http://www.ukbmd.org.uk/reg/districts/cuckfield.html
