parish,county,from_year,to_year,comments,district,source_url
Ash,Kent,1837,1955,"Abolished 1.4.1955 and divided between the parishes of Ash cum 
    Ridley and West Kingsdown. See also Table 2, note (c).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Ash cum Ridley,Kent,1955,1979,"Created 1.4.1955 out of the parishes of Ridley and Ash. See also 
    Table 2, note (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Bexley,Kent,1837,1952,"See Table 2, notes (a) and (e).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Cobham,Kent,1974,1979,"See Table 2, notes (g) and (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Crayford,Kent,1837,1965,"Abolished 1.4.1965 and added to the London borough of Bexley. 
    See also Table 2, note (f).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Darenth,Kent,1837,1979,"See Table 2, note (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Dartford,Kent,1837,1974,Abolished 1.4.1974 to become an unparished area.,Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Dartford*,Kent,1974,1979,"Unparished area which until 1.4.1974 formed the parish 
    of Dartford. See also Table 2, note (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
East Wickham,Kent,1837,1902,Abolished 1.10.1902 and added to the parish of Bexley.,Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Erith,Kent,1837,1965,"Abolished 1.4.1965 and added to the London borough of Bexley. 
    See also Table 2, note (f).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Eynsford,Kent,1837,1979,"See Table 2, note (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Farningham,Kent,1837,1979,"See Table 2, note (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Fawkham,Kent,1837,1979,"See Table 2, note (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Footscray,Kent,1910,1910,"That part which until 1.10.1910 formed part of the parish of 
    Bexley. See also Table 2, note (a).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Gravesend,Kent,1952,1974,"Abolished 1.4.1974 and added to the Gravesham unparished area. See also Table 
    2, note (d).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Gravesham*,Kent,1974,1979,"Unparished area which until 1.4.1974 formed the parishes of Gravesend 
    and Northfleet. See also Table 2, note (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Hartley,Kent,1837,1979,"See Table 2, note (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Higham,Kent,1974,1979,"See Table 2, notes (g) and (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Horton Kirby,Kent,1837,1978,"Renamed 1.1.1979 to become the parish of Horton Kirby & South 
    Darenth.",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Horton Kirby & South Darenth,Kent,1979,1979,"Created 1.1.1979 by renaming the parish of Horton Kirby. See 
    also Table 2, note (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Kingsdown,Kent,1837,1948,"Renamed 1.8.1948 to become the parish of West Kingsdown. See also 
    Table 2, note (b).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Longfield,Kent,1837,1979,"See Table 2, note (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Luddesdown,Kent,1974,1979,"See Table 2, notes (g) and (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Lullingstone,Kent,1837,1955,Abolished 1.4.1955 and added to the parish of Eynsford.,Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Meopham,Kent,1974,1979,"See Table 2, notes (g) and (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Northfleet,Kent,1952,1974,"Abolished 1.4.1974 and added to the Gravesham unparished area. See also Table 
    2, note (d).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Ridley,Kent,1837,1955,Abolished 1.4.1955 and added to the parish of Ash cum Ridley.,Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Shone,Kent,1974,1979,"See Table 2, notes (g) and (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Southfleet,Kent,1837,1979,"See Table 2, note (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Stone,Kent,1837,1979,"See Table 2, note (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Sutton at Hone,Kent,1837,1979,"Name changed to Sutton at Hone & Hawley after 1974. See also Table 2, note (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Swanley,Kent,1955,1979,"Created 1.4.1955 out of the parishes of Sutton at Hone, Eynsford, 
    Farlingham, Horton and Wilmington. See also Table 2, note (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Swanscombe,Kent,1837,1979,"See Table 2, note (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
West Kingsdown,Kent,1948,1979,"Created 1.8.1948 by renaming the parish of Kingsdown. See also 
    Table 2, note (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
Wilmington,Kent,1837,1979,"See Table 2, note (h).",Dartford,http://www.ukbmd.org.uk/reg/districts/dartford.html
