parish,county,from_year,to_year,comments,district,source_url
All Cannings,Wiltshire,1837,1998,"See Table 2, note (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Allington,Wiltshire,1837,1934,Abolished 1.4.1934 and added to the parish of All Cannnigs.,Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Alton,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Alton Barnes,Wiltshire,1837,1934,"Abolished 1.4.1934 and added to the parish of Alton. See 
    also Table 2, note (b).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Beechingstoke,Wiltshire,1837,1998,"See Table 2, note (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Bishop's Cannings,Wiltshire,1837,1998,"See Table 2, note (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Bromham,Wiltshire,1837,1998,"See Table 2, notes (a) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Burbage,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Charlton,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Cheverell Magna,Wiltshire,1837,1998,"See Table 2, note (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Cheverell Parva,Wiltshire,1837,1998,"See Table 2, note (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Chirton,Wiltshire,1837,1998,"See Table 2, note (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Chittloe,Wiltshire,1837,1934,Abolished 1.4.1934 and added to the parish of Bromham.,Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Chute,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Chute Forest,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Collingbourne Ducis,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Collingbourne Kingston,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Devizes,Wiltshire,1934,1998,"Created 1.4.1934 out of the parishes of St. James, St. Mary the 
    Virgin, St. John the Baptist, Roundway, Rowde Within, Rowde and Potterne. See 
    also Table 2, note (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Easterton,Wiltshire,1837,1998,"See Table 2, note (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Easton,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Enford,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Erlestoke,Wiltshire,1837,1998,"See Table 2, note (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Etchilhampton,Wiltshire,1837,1998,"See Table 2, note (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Everleigh,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Fittleton,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Fullaway,Wiltshire,1837,1894,Abolished 1894 and added to the parish of Stert.,Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Huish,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Ludgershall,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Manningford,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Marden,Wiltshire,1837,1998,"See Table 2, note (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Market Lavington,Wiltshire,1837,1998,"See Table 2, note (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Marston,Wiltshire,1837,1998,"See Table 2, note (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Milton Lilbourne,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Netheravon,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
North Newnton,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
North Tidworth,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Patney,Wiltshire,1837,1998,"See Table 2, note (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Pewsey,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Potterne,Wiltshire,1837,1998,"See Table 2, note (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Poulshot,Wiltshire,1837,1998,"See Table 2, note (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Roundway,Wiltshire,1894,1998,"Created 1894 from the rural part of the parish of St. James. See 
    also Table 2, note (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Rowde,Wiltshire,1837,1998,"See Table 2, note (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Rowde Within,Wiltshire,1894,1934,"Created 1894 from the part of the parish of Rowde in Devizes Municipal 
    Borough. Abolished 1.4.1934 and added to the parish of Devizes.",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Rushall,Wiltshire,1936,1998,"See Table 2, notes (d) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
Seend,Wiltshire,1936,1998,"See Table 2, notes (c) and (f).",Devizes,http://www.ukbmd.org.uk/reg/districts/devizes.html
