parish,county,from_year,to_year,comments,district,source_url
Barmouth,Merionethshire,1894,1935,"Created 1894 from the part of the parish of Llanaber in Barmouth 
    Urban District. See also Table 2, note (d).",Dolgelly,http://www.ukbmd.org.uk/reg/districts/dolgelly.html
Brithdir & Islaw'rdref,Merionethshire,1894,1935,"Created 1894 from the rural part of the parish of Dolgelly. See 
    also Table 2, note (d).",Dolgelly,http://www.ukbmd.org.uk/reg/districts/dolgelly.html
Caerinion Fechan,Montgomeryshire,1894,1895,"Created 1894 from the Montgomeryshire part of the parish of Mallwyd. 
    See also Table 2, note (b).",Dolgelly,http://www.ukbmd.org.uk/reg/districts/dolgelly.html
Dolgelly,Merionethshire,1837,1935,"See Table 2, note (d).",Dolgelly,http://www.ukbmd.org.uk/reg/districts/dolgelly.html
Llanaber,Merionethshire,1837,1935,"See Table 2, note (d).",Dolgelly,http://www.ukbmd.org.uk/reg/districts/dolgelly.html
Llanddwywe îs y Graig,Merionethshire,1837,1935,"See Table 2, note (d).",Dolgelly,http://www.ukbmd.org.uk/reg/districts/dolgelly.html
Llanddwywe uwch y Graig,Merionethshire,1837,1935,"See Table 2, note (d).",Dolgelly,http://www.ukbmd.org.uk/reg/districts/dolgelly.html
Llanegryn,Merionethshire,1837,1935,"See Table 2, note (d).",Dolgelly,http://www.ukbmd.org.uk/reg/districts/dolgelly.html
Llanelltyd,Merionethshire,1837,1935,"See Table 2, note (d).",Dolgelly,http://www.ukbmd.org.uk/reg/districts/dolgelly.html
Llanenddwyn,Merionethshire,1837,1935,"See Table 2, notes (c) and (d).",Dolgelly,http://www.ukbmd.org.uk/reg/districts/dolgelly.html
Llanfachreth,Merionethshire,1837,1935,"See Table 2, note (d).",Dolgelly,http://www.ukbmd.org.uk/reg/districts/dolgelly.html
Llanfihangel y Pennant,Merionethshire,1837,1935,"See Table 2, note (d).",Dolgelly,http://www.ukbmd.org.uk/reg/districts/dolgelly.html
Llanbedr,Merionethshire,1934,1935,"That part which until 1.4.1934 formed part of the parish of Llanenddwyn. 
    See also Table 2, note (c).",Dolgelly,http://www.ukbmd.org.uk/reg/districts/dolgelly.html
Llangelynin,Merionethshire,1837,1935,"See Table 2, note (d).",Dolgelly,http://www.ukbmd.org.uk/reg/districts/dolgelly.html
Llanymawddwy,Merionethshire,1837,1935,"See Table 2, note (d).",Dolgelly,http://www.ukbmd.org.uk/reg/districts/dolgelly.html
Mallwyd,Merionethshire,1837,1935,"In 1894 the part in Montgomeryshire became 
    the  parish of Caerinion Fechan, so that thereafter Mallwyd was entirely 
    in Merionethshire. See also Table 2, note (d).",Dolgelly,http://www.ukbmd.org.uk/reg/districts/dolgelly.html
Talyllyn,Merionethshire,1837,1935,"See Table 2, notes (a) and (d).",Dolgelly,http://www.ukbmd.org.uk/reg/districts/dolgelly.html
