parish,county,from_year,to_year,comments,district,source_url
Abinger,Surrey,1837,1934,"See Table 2, notes (a), (d) and (e).",Dorking,http://www.ukbmd.org.uk/reg/districts/dorking.html
Capel,Surrey,1837,1934,"See Table 2, note (d).",Dorking,http://www.ukbmd.org.uk/reg/districts/dorking.html
Dorking,Surrey,1837,1934,"See Table 2, note (d).",Dorking,http://www.ukbmd.org.uk/reg/districts/dorking.html
Dorking Rural,Surrey,1894,1933,"Created 1894 from the rural part of the parish of Dorking. Abolished 
    1.4.1933 and divided between the parishes of Milton, Holmwood and Wotton.",Dorking,http://www.ukbmd.org.uk/reg/districts/dorking.html
Effingham,Surrey,1837,1934,"See Table 2, note (e).",Dorking,http://www.ukbmd.org.uk/reg/districts/dorking.html
Ewhurst,Surrey,1933,1934,"That part which until 1.4.1933 formed part of the parish of 
    Abinger. See also Table 2, note (e).",Dorking,http://www.ukbmd.org.uk/reg/districts/dorking.html
Fetcham,Surrey,1933,1934,"That part which until 1.4.1933 formed part of the parish of Mickleham. See 
    also Table 2, note (c).",Dorking,http://www.ukbmd.org.uk/reg/districts/dorking.html
Holmwood,Surrey,1933,1934,"Created 1.4.1933 out of the parish of Doking Rural. See also Table 
    2, note (d).",Dorking,http://www.ukbmd.org.uk/reg/districts/dorking.html
Mickleham,Surrey,1837,1934,"See Table 2, notes (c) and (d).",Dorking,http://www.ukbmd.org.uk/reg/districts/dorking.html
Milton,Surrey,1933,1934,"Created 1.4.1933 out of the parish of Doking Rural. See also Table 
    2, note (d).",Dorking,http://www.ukbmd.org.uk/reg/districts/dorking.html
Newdigate,Surrey,1837,1934,"See Table 2, notes (b) and (d).",Dorking,http://www.ukbmd.org.uk/reg/districts/dorking.html
Ockley,Surrey,1837,1934,"See Table 2, note (d).",Dorking,http://www.ukbmd.org.uk/reg/districts/dorking.html
Wotton,Surrey,1837,1934,"See Table 2, note (d).",Dorking,http://www.ukbmd.org.uk/reg/districts/dorking.html
