parish,county,from_year,to_year,comments,district,source_url
Brompton Regis,Somerset,1837,1838,"See Table 2, note (a).",Dulverton (1837 only),http://www.ukbmd.org.uk/reg/districts/dulverton.html
Brushford,Somerset,1837,1838,"See Table 2, note (a).",Dulverton (1837 only),http://www.ukbmd.org.uk/reg/districts/dulverton.html
Dulverton,Somerset,1837,1838,"See Table 2, note (a).",Dulverton (1837 only),http://www.ukbmd.org.uk/reg/districts/dulverton.html
Exford,Somerset,1837,1838,"See Table 2, note (a).",Dulverton (1837 only),http://www.ukbmd.org.uk/reg/districts/dulverton.html
Exmoor,Somerset,1837,1838,"That part in the county of Somerset. 
    See also Table 2, note (a).",Dulverton (1837 only),http://www.ukbmd.org.uk/reg/districts/dulverton.html
Exton,Somerset,1837,1838,"See Table 2, note (a).",Dulverton (1837 only),http://www.ukbmd.org.uk/reg/districts/dulverton.html
Hawkridge,Somerset,1837,1838,"See Table 2, note (a).",Dulverton (1837 only),http://www.ukbmd.org.uk/reg/districts/dulverton.html
Huish Champflower,Somerset,1837,1838,"See Table 2, note (a).",Dulverton (1837 only),http://www.ukbmd.org.uk/reg/districts/dulverton.html
Skilgate,Somerset,1837,1838,"See Table 2, note (a).",Dulverton (1837 only),http://www.ukbmd.org.uk/reg/districts/dulverton.html
Upton,Somerset,1837,1838,"See Table 2, note (a).",Dulverton (1837 only),http://www.ukbmd.org.uk/reg/districts/dulverton.html
Winsford,Somerset,1837,1838,"See Table 2, note (a).",Dulverton (1837 only),http://www.ukbmd.org.uk/reg/districts/dulverton.html
Withypool,Somerset,1837,1838,"See Table 2, note (a).",Dulverton (1837 only),http://www.ukbmd.org.uk/reg/districts/dulverton.html
