parish,county,from_year,to_year,comments,district,source_url
Birtley,Durham,1938,1974,"See Table 2, notes (a), (j) and (k).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Bournmoor,Durham,1938,2004,"See Table 2, notes (a) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Burnhope,Durham,1995,2004,"Created 1.11.1995 by renaming the parish of Langley. See also 
    Table 2, note (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Chester-le-Street,Durham,1938,1974,"Abolished 1.4.1974 to become an unparished area. See also Table 
    2, note (a).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Chester-le-Street*,Durham,1974,2004,"Unparished area which until 1.4.1974 formed the parish of Chester-le-Street. See also Table 2, note 
    (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Cornsay,Durham,1974,2004,"See Table 2, notes (h) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Derwentside*,Durham,1974,2004,"Unparished area which until 1.4.1974 formed the parishes of Consett 
    and Stanley. See also Table 2, notes (i) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Edmondsley,Durham,1938,2004,"See Table 2, notes (a) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Esh,Durham,1974,2004,"See Table 2, notes (h) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Great Lumley,Durham,1938,2004,"See Table 2, notes (a) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Greencroft,Durham,1974,2004,"See Table 2, notes (h) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Harraton,Durham,1938,2004,"See Table 2, notes (a), (k) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Healeyfield,Durham,1974,2004,"See Table 2, notes (h) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Hedleyhope,Durham,1974,2004,"See Table 2, notes (h) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Hetton,Durham,1938,1974,"See Table 2, notes (b), (c) and (k).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Houghton-le-Spring,Durham,1938,1974,"Abolished 1.4.1974 and added to the Sunderland unparished area. See also Table 
    2, notes (a), (c), (f), (g) and (k).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Kimblesworth & Plawsworth,Durham,1986,2004,"Created 1.4.1986 out of the parishes of Framwellgate Moor, 
    Kimblesworth and Plawsworth. See also Table 2, note (l).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Lambton,Durham,1938,1985,"Abolished 1.4.1985 and added to the parish of Bournmoor. See 
    also Table 2, note (a).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Lamesley,Durham,1938,1974,"See Table 2, notes (a), (d) and (j).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Lanchester,Durham,1974,2004,"See Table 2, notes (h) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Langley,Durham,1974,1995,"Renamed 1.11.1995 to create the parish of Burnhope. See also Table 2, note 
    (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Little Lumley,Durham,1938,2004,"See Table 2, notes (a) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Muggleswick,Durham,1974,2004,"See Table 2, notes (h) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
North Lodge,Durham,1974,2004,"Created 1.4.1974 out of the parish of Harraton. See also Table 
    2, note (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Ouston,Durham,1938,2004,"See Table 2, notes (a) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Pelton,Durham,1938,2004,"See Table 2, notes (a) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Plawsworth,Durham,1938,1986,"Abolished 1.4.1986 and added to the parish of 
    Kimblesworth & Plawsworth. See also Table 2, notes (a) and (b).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Satley,Durham,1974,2004,"See Table 2, notes (h) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Sacriston,Durham,1938,2004,"See Table 2, notes (a) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
South Biddick,Durham,1938,1985,"Abolished 1.4.1985 and added to the parish of Bournmoor. See 
    also Table 2, notes (a) and (k).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Urpeth,Durham,1938,2004,"See Table 2, notes (a) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Waldridge,Durham,1938,2004,"See Table 2, notes (a) and (m).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
Washington,Durham,1938,1974,"Abolished 1.4.1974 and added to the Sunderland unparished area. See also Table 
    2, notes (a), (e), (f) and (k).",Durham Northern,http://www.ukbmd.org.uk/reg/districts/durham%20northern.html
