parish,county,from_year,to_year,comments,district,source_url
Aislaby,Durham,1938,1971,"See Table 2, notes (e) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Billingham,Durham,1938,1968,"Abolished 1.4.1968 and divided between the parishes of Teesside, 
    Wolviston, Newton Bewley and Grindon. See also Table 2, notes (e) and (i).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Bishop Middleham,Durham,1938,1971,"See Table 2, notes (d) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Bradbury,Durham,1938,1971,"Name changed to Bradbury & the Isle by 1956. See also Table 2, notes (d) and 
    (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Brierton,Durham,1938,1971,"See Table 2, notes (c), (h) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Butterwick & Oldacres,Durham,1938,1971,"See Table 2, notes (d) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Carlton,Durham,1938,1971,"See Table 2, notes (e), (i) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Chilton,Durham,1938,1971,"See Table 2, notes (d) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Claxton,Durham,1938,1971,"See Table 2, notes (c) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Cornforth,Durham,1938,1971,"See Table 2, notes (d) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Dalton Piercy,Durham,1938,1971,"See Table 2, notes (c), (f), (h) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Egglescliffe,Durham,1938,1971,"See Table 2, notes (e) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Elstob,Durham,1938,1971,"See Table 2, notes (d) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Elton,Durham,1938,1971,"See Table 2, notes (e), (i) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Elwick,Durham,1938,1971,"See Table 2, notes (c), (h) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Elwick Hall,Durham,1938,1971,"See Table 2, notes (c) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Embleton,Durham,1938,1971,"See Table 2, notes (d) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Ferryhill,Durham,1938,1971,"See Table 2, notes (d) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Fishburn,Durham,1938,1971,"See Table 2, notes (d) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Foxton & Shotton,Durham,1938,1971,"See Table 2, notes (d) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Greatham,Durham,1938,1971,"See Table 2, notes (c), (f), (h) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Grindon,Durham,1938,1971,"See Table 2, notes (e), (i) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
Hart,Durham,1938,1971,"See Table 2, notes (c), (h) and (j).",Durham South Eastern,http://www.ukbmd.org.uk/reg/districts/durham%20south%20eastern.html
