parish,county,from_year,to_year,comments,district,source_url
Archdeacon Newton,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Barforth,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Barmpton,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Barnard Castle,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Barningham,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Bishop Auckland,Durham,1938,1974,"Abolished 1.4.1974 and added to the Wear Valley unparished area. See also Table 
    2, notes (a) and (b).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Bishop Middleham,Durham,1974,2006,"See Table 2, notes (k) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Bishopton,Durham,1938,1974,"See Table 2, notes (d) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Blackwell,Durham,1938,1967,"Abolished 1.4.1967 and divided between the parishes of Hurworth, 
    Darlington and Cleasby. See also Table 2, notes (a), (g) and (i).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Bolam,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Boldron,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Bowes,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Bradbury & the Isle,Durham,1974,2006,"See Table 2, notes (k) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Brafferton,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Brignall,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Butterwick & Oldacres,Durham,1974,1983,"Abolished 1.4.1983 and added to the parish of Sedgefield. 
    See also Table 2, note (k).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Chilton,Durham,1974,2006,"See Table 2, notes (k) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Cleatlam,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Coatham Mundeville,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Cockfield,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Cornforth,Durham,1974,2006,"See Table 2, notes (k) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Cotherstone,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Crook & Willington,Durham,1938,1974,"Abolished 1.4.1974 to become an unparished area. See also Table 
    2, notes (a) and (b).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Dene Valley,Durham,2000,2006,"Created 1.4.2000 out of the Wear Valley unparished area. See 
    also Table 2, note (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Denton,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
East & West Newbiggin,Durham,1938,1974,"See Table 2, notes (d) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Edmondbyers,Durham,1938,2006,"See Table 2, notes (e) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Eggleston,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Egglestone Abbey,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Eldon,Durham,2003,2006,"Created 1.4.2003 out of the parish of Shildon. See also Table 2, note 
    (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Elstob,Durham,1974,1983,"Abolished 1.4.1983 and added to the parish of Mordon. See 
    also Table 2, note (k).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Embleton,Durham,1974,1983,"Abolished 1.4.1983 and added to the parish of Sedgefield. 
    See also Table 2, note (k).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Etherley,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Evenwood & Barony,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Ferryhill,Durham,1974,2006,"See Table 2, notes (k) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Fishburn,Durham,1974,2006,"See Table 2, notes (k) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Forest & Frith,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Foxton & Shotton,Durham,1974,1983,"Abolished 1.4.1983 and added to the parish of Sedgefield. See also Table 2, note 
    (k).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Gainford,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Gilmonby,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Great Aycliffe,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Great Aycliffe,Durham,1997,2006,"See Table 2, notes (q) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Great Burdon,Durham,1938,1974,"See Table 2, notes (a), (g), (h) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Great Stainton,Durham,1938,1974,"See Table 2, notes (d) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Hamsterley,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Headlam,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Heighington,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
High Coniscliffe,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Hilton,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Holwick,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Hope,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Houghton-le-Side,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Hunderthwaite,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Hunstanworth,Durham,1938,2006,"See Table 2, notes (e) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Hurworth,Durham,1938,1974,"See Table 2, notes (a), (g), (h) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Hutton Magna,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Ingleton,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Killerby,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Langleydale & Shotton,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Langton,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Lartington,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Little Stainton,Durham,1938,1974,"See Table 2, notes (d) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Low Coniscliffe,Durham,1938,1974,"See Table 2, notes (a), (g), (h) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Low Dinsdale,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Lunedale,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Lynesack & Softley,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Mainsforth,Durham,1974,1983,"Abolished 1.4.1983 and divided between the parishes of Bishop Middleham 
    and Ferryhill. See also Table 2, note (k).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Marwood,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Mickleton,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Middleton in Teesdale,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Middleton St. George,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Middridge,Durham,1983,2006,"Created 1.4.1983 by renaming the village of Middridge. See also Table 2, note 
    (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Middridge Village,Durham,1983,1983,"Created 1.4.1983 out of the parish of Shildon. Renamed 
    21.12.1983 to become the parish of Middridge.",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Mordon,Durham,1974,2006,"See Table 2, notes (k) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Morton Palms,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Morton Tinmouth,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Neasham,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Newbiggin,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Ovington,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Piercebridge,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Preston-le-Skerne,Durham,1974,1983,"Abolished 1.4.1983 and added to the parish of Mordon. See 
    also Table 2, note (k).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Raby with Keverstone,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Rokeby,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Romaldkirk,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Sadberge,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Scargill,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
School Aycliffe,Durham,1938,1946,"Abolished 1.4.1946 and added to the parish of Heighington. 
    See also Table 2, note (a).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Sedgefield,Durham,1974,2006,"See Table 2, notes (k), (m), (o), (p) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Shildon,Durham,1938,2006,"See Table 2, notes (a) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Sockburn,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
South Bedburn,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
South Cornsay,Durham,1938,1974,"See Table 2, note (c).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Spennymoor,Durham,1938,2006,"See Table 2, notes (a), (b), (d), (n) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Staindrop,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Stanhope,Durham,1938,2006,"See Table 2, notes (e) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Startforth,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Stillington,Durham,1974,1983,"Abolished 1.4.1983 and divided between the parishes of Mordon and 
    Whitton. See also Table 2, notes (k) and (l).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Streatlam & Stainton,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Summerhouse,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Tow Law,Durham,1938,2006,"See Table 2, notes (e) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Trimdon,Durham,1974,2006,"See Table 2, notes (k) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Wackerfield,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Walworth,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Wear Valley*,Durham,1974,2006,"Unparished area which until 1.4.1974 formed the parishes of Bishop Auckland 
    and Crook & Willington. See also Table 2, note (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
West Auckland,Durham,2003,2006,"Created 1.4.2003 out of the Wear Valley unparished area. See 
    also Table 2, note (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Westwick,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Whessoe,Durham,1938,1974,"See Table 2, notes (a) and (j).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Whorlton,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Windlestone,Durham,1974,2006,"See Table 2, notes (k) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Winston,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Witton-le-Wear,Durham,2000,2006,"Created 1.4.2000 out of the Wear Valley unparished area. See 
    also Table 2, note (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Wolsingham,Durham,1938,2006,"See Table 2, notes (a), (e) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Woodham,Durham,1974,1983,"Abolished 1.4.1983 and divided between the parishes of Bradbury 
    & the Isle 
    & The Isle, Great Aycliffe, adn WIndlestone. See also Table 2, note (k).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
Woodland,Durham,2000,2006,"See Table 2, notes (r) and (s).",Durham Western,http://www.ukbmd.org.uk/reg/districts/durham%20western.html
