parish,county,from_year,to_year,comments,district,source_url
Barry,Glamorganshire,1935,1974,"See Table 2, notes (a) and (h).",East Glamorgan,http://www.ukbmd.org.uk/reg/districts/east%20glamorgan.html
Bonvilston,Glamorganshire,1935,1974,"See Table 2, notes (a) and (h).",East Glamorgan,http://www.ukbmd.org.uk/reg/districts/east%20glamorgan.html
Eglwysilan,Glamorganshire,1935,1974,"Abolished 1.4.1974 and added to the communities of Caerphilly 
    and Taffs Well. See also Table 2, notes (c), (f) and (g).",East Glamorgan,http://www.ukbmd.org.uk/reg/districts/east%20glamorgan.html
Gelligaer,Glamorganshire,1935,1974,"See Table 2, notes (b) and (f).",East Glamorgan,http://www.ukbmd.org.uk/reg/districts/east%20glamorgan.html
Lavernock,Glamorganshire,1935,1974,"See Table 2, notes (a) and (h).",East Glamorgan,http://www.ukbmd.org.uk/reg/districts/east%20glamorgan.html
Leckwith,Glamorganshire,1935,1974,"See Table 2, notes (a), (e) and (h).",East Glamorgan,http://www.ukbmd.org.uk/reg/districts/east%20glamorgan.html
Lisvane,Glamorganshire,1935,1974,"See Table 2, notes (a), (d), (e) and (h).",East Glamorgan,http://www.ukbmd.org.uk/reg/districts/east%20glamorgan.html
Llancarfan,Glamorganshire,1935,1974,"See Table 2, notes (a) and (h).",East Glamorgan,http://www.ukbmd.org.uk/reg/districts/east%20glamorgan.html
Llandeyrn,Glamorganshire,1935,1974,"See Table 2, notes (a), (e) and (h).",East Glamorgan,http://www.ukbmd.org.uk/reg/districts/east%20glamorgan.html
Llanfabon,Glamorganshire,1935,1974,"Abolished 1.4.1974 and added to the community of Caerphilly. 
    See also Table 2, notes (c) and (f).",East Glamorgan,http://www.ukbmd.org.uk/reg/districts/east%20glamorgan.html
Llanilterne,Glamorganshire,1935,1974,"See Table 2, notes (a) and (g).",East Glamorgan,http://www.ukbmd.org.uk/reg/districts/east%20glamorgan.html
Llantrithyd,Glamorganshire,1935,1974,"See Table 2, notes (a) and (h).",East Glamorgan,http://www.ukbmd.org.uk/reg/districts/east%20glamorgan.html
