parish,county,from_year,to_year,comments,district,source_url
Bishopstoke,Hampshire,1927,1932,"Abolished 1.4.1932 and added to the parish of Eastleigh. 
    See also Table 2, note (b).",Eastleigh,http://www.ukbmd.org.uk/reg/districts/eastleigh.html
Botley,Hampshire,1927,1932,"See Table 2, notes (a) and (d).",Eastleigh,http://www.ukbmd.org.uk/reg/districts/eastleigh.html
Bursledon,Hampshire,1927,1932,"See Table 2, notes (a) and (d).",Eastleigh,http://www.ukbmd.org.uk/reg/districts/eastleigh.html
Chilworth,Hampshire,1927,1932,"See Table 2, notes (a) and (c).",Eastleigh,http://www.ukbmd.org.uk/reg/districts/eastleigh.html
Eastleigh,Hampshire,1927,1932,"See Table 2, notes (a) and (d).",Eastleigh,http://www.ukbmd.org.uk/reg/districts/eastleigh.html
Hamble,Hampshire,1927,1932,"See Table 2, notes (a) and (d).",Eastleigh,http://www.ukbmd.org.uk/reg/districts/eastleigh.html
Hedge End,Hampshire,1927,1932,"See Table 2, note (a).",Eastleigh,http://www.ukbmd.org.uk/reg/districts/eastleigh.html
Hound,Hampshire,1927,1932,"See Table 2, notes (a) and (d).",Eastleigh,http://www.ukbmd.org.uk/reg/districts/eastleigh.html
Millbrook,Hampshire,1927,1932,"See Table 2, notes (a) and (c).",Eastleigh,http://www.ukbmd.org.uk/reg/districts/eastleigh.html
North Stoneham,Hampshire,1927,1932,"Abolished 1.4.1932 and divided between the parishes of Eastleigh 
    and Chilworth. See also Table 2, note (a).",Eastleigh,http://www.ukbmd.org.uk/reg/districts/eastleigh.html
West End,Hampshire,1927,1932,"See Table 2, notes (a) and (d).",Eastleigh,http://www.ukbmd.org.uk/reg/districts/eastleigh.html
