parish,county,from_year,to_year,comments,district,source_url
Cheshunt,Hertfordshire,1837,1939,"See Table 2, note (m).",Edmonton,http://www.ukbmd.org.uk/reg/districts/edmonton.html
Chingford,Essex,1934,1939,"That part which until 1.4.1934 formed part of the parish of 
    Waltham Holy Cross. See also Table 2, note (j).",Edmonton,http://www.ukbmd.org.uk/reg/districts/edmonton.html
Edmonton,Middlesex,1837,1965,"Abolished 1.4.1965 and added to the London borough of Enfield. 
    See also Table 2, note (p).",Edmonton,http://www.ukbmd.org.uk/reg/districts/edmonton.html
Enfield,Hertfordshire,1889,1894,"In 1889 the part of the parish of Enfield in East Barnet Valley 
    Urban District was transferred from Middlesex to Hertfordshire; in 1894 this 
    area became part of the parish of Monken Hadley, so that thereafter Enfield 
    was again entirely in Middlesex. Abolished 1.4.1965 and added to the London 
    borough of Enfield. See also Table 2, notes (b), (c), (i) and (p).",Edmonton,http://www.ukbmd.org.uk/reg/districts/edmonton.html
Finchley,Middlesex,1937,1947,"That part which until 1.4.1937 formed part of the parish of 
    Hornsey See also Table 2, note (n).",Edmonton,http://www.ukbmd.org.uk/reg/districts/edmonton.html
Friern Barnet,Middlesex,1934,1947,"That part which until 1.4.1934 formed parts of the parish of 
    Southgate and Wood Green. See also Table 2, note (n).",Edmonton,http://www.ukbmd.org.uk/reg/districts/edmonton.html
Friern Barnet,Middlesex,1937,1947,"That part which until 1.4.1937 formed part of the parish of 
    Hornsey. See also Table 2, note (n).",Edmonton,http://www.ukbmd.org.uk/reg/districts/edmonton.html
Hampstead,Middlesex,1837,1848,"See Table 2, note (a).",Edmonton,http://www.ukbmd.org.uk/reg/districts/edmonton.html
Hornsey,Middlesex,1837,1947,"See Table 2, notes (b), (e), (n) and (o).",Edmonton,http://www.ukbmd.org.uk/reg/districts/edmonton.html
South Hornsey,Middlesex,1896,1900,"Created 26.3.1896 from the part of the parish of Hornsey in South 
    Hornsey Urban District. Abolished 1.4.1900 and divided between the parishes of 
    Stoke Newington and Islington. See also Table 2, notes (d) and (f).",Edmonton,http://www.ukbmd.org.uk/reg/districts/edmonton.html
South Mimms,Middlesex,1924,1924,"That part which until 1.4.1924 formed part of the parish of Enfield. 
    See also Table 2, note (i).",Edmonton,http://www.ukbmd.org.uk/reg/districts/edmonton.html
South Mimms,Middlesex,1939,1947,"See Table 2, notes (k) and (o).",Edmonton,http://www.ukbmd.org.uk/reg/districts/edmonton.html
Southgate,Middlesex,1894,1947,"Created 1894 from the part of the parish of Edmonton in Southgate 
    Urban District. See also Table 2, notes (n) and (o).",Edmonton,http://www.ukbmd.org.uk/reg/districts/edmonton.html
Tottenham,Middlesex,1837,1965,"Abolished 1.4.1965 and added to the London borough of Haringey. 
    See also Table 2, notes (h), (g) and (q).",Edmonton,http://www.ukbmd.org.uk/reg/districts/edmonton.html
Waltham Holy Cross,Essex,1837,1939,"See Table 2, note (j).",Edmonton,http://www.ukbmd.org.uk/reg/districts/edmonton.html
Wood Green,Middlesex,1894,1947,"Created 1894 out of the part of the parish of Tottenham in Wood 
    Green Urban District. See also Table 2, notes (n) and (o).",Edmonton,http://www.ukbmd.org.uk/reg/districts/edmonton.html
