parish,county,from_year,to_year,comments,district,source_url
Abbess Beauchamp & Berners Roding,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Bobbingworth,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Buckhurst Hill,Essex,1996,2010,"Created 5.1.1996 out of the Epping Forest unparished area. See 
    also Table 2, note (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Chigwell,Essex,1996,2010,"Created 5.1.1996 out of the Epping Forest unparished area. See 
    also Table 2, note (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Epping,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Epping Forest*,Essex,1974,1996,"Unparished area which until 1.4.1974 formed the parishes of Buckhurst Hill, Chigwell and Loughton. 
    Abolished 5.1.1996 and divided between the parishes of Buckhurst Hill, 
    Chigwell and Loughton. See 
    also Table 2, note (a).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Epping Upland,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Fyfield,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
High Laver,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
High Ongar,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Lambourne,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Little Laver,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Loughton,Essex,1996,2010,"Created 5.1.1996 out of the Epping Forest unparished area. See 
    also Table 2, note (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Magdalen Laver,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Matching,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Moreton,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Nazeing,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
North Weald Bassett,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Ongar,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Roydon,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Sheering,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Stanford Rivers,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Stapleford Abbotts,Essex,1974,2010,"See Table 2, notes (a), (b), (c) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Stapleford Tawney,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Theydon Bois,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Theydon Garnon,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Theydon Mount,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Waltham Abbey,Essex,1974,2010,"Created 1.4.1974 by renaming the parish of Waltham Holy Cross. 
    See also Table 2, notes (a), (d), (e), (f) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
Willingale,Essex,1974,2010,"See Table 2, notes (a) and (g).",Epping Forest,http://www.ukbmd.org.uk/reg/districts/epping%20forest.html
