parish,county,from_year,to_year,comments,district,source_url
Beaconsfield,Buckinghamshire,1934,1935,"That part which until 1.4.1935 formed parts of the parishes of 
    Burnham and Taplow. See also Table 2, note (d).",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Boveney,Buckinghamshire,1837,1934,"Abolished 1.4.1934 and divided between the parishes of Eton and 
    Dorney.",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Burnham,Buckinghamshire,1837,1974,"See Table 2, notes (d), (f) and (g).",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Chalfont St. Peter,Buckinghamshire,1934,1935,"That part which until 1.4.1935 formed part of the parish of 
    Gerrards Cross. See also Table 2, note (d).",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Datchet,Buckinghamshire,1837,1974,"See Table 2, note (h).",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Denham,Buckinghamshire,1837,1974,"See Table 2, notes (b), (c) and (f).",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Dorney,Buckinghamshire,1837,1974,"See Table 2, note (f).",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Eton,Buckinghamshire,1837,1974,"See Table 2, note (h).",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Eton Wick,Buckinghamshire,1894,1934,"Created 1894 from the rural part of the parish of Eton. Abolished 
    1.4.1934 and added to the parish of Eton.",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Farnham Royal,Buckinghamshire,1837,1974,"See Table 2, note (f).",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Fulmer,Buckinghamshire,1837,1974,"See Table 2, note (f).",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Gerrards Cross,Buckinghamshire,1895,1974,"Created 1.10.1895 out of the parishes of Chalfont St. Peter, Fulmer, 
    Iver, Langley Marish and Upton cum Chalvey. See also Table 2, notes (a), 
    (c), 
    (d), (e) and (f).",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Hedgerley,Buckinghamshire,1837,1974,"See Table 2, note (f).",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Hedgerley Dean,Buckinghamshire,1837,1934,"Abolished 1.4.1934 and divided between the parishes of Hedgereley, 
    Farnham Royal and Gerrards Cross.",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Hitcham,Buckinghamshire,1837,1934,"Abolished 1.4.1934 and divided between the parishes of Burnham, 
    Taplow and Dorney.",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Horton,Buckinghamshire,1837,1974,"See Table 2, note (h).",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Iver,Buckinghamshire,1837,1974,"See Table 2, note (f).",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Langley Marish,Buckinghamshire,1837,1934,"Abolished 1.4.1934 and divided between the parishes of Wexham, 
    Fulmer and Iver.",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Slough,Buckinghamshire,1894,1974,"Created 1894 from the part of the parish of Upton cum Chalvey 
    in Stoke Urban District. Abolished 1.4.1974 to become an unparished area. See also Table 2, note 
    (g).",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Stoke in Slough,Buckinghamshire,1894,1896,"Created 1894 from the part of the parish of Stoke Poges in Slough 
    Urban District. Abolished 26.3.1896 and added to the parish of Slough.",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Stoke Poges,Buckinghamshire,1837,1974,"See Table 2, note (f).",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Taplow,Buckinghamshire,1837,1974,"See Table 2, notes (d) and (f).",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Upton cum Chalvey,Buckinghamshire,1837,1901,Abolished 1.10.1901 and added to the parish of Wexham.,Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Wexham,Buckinghamshire,1837,1974,"See Table 2, notes (f) and (g).",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
Wraysbury,Buckinghamshire,1837,1974,"See Table 2, note (h).",Eton,http://www.ukbmd.org.uk/reg/districts/eton.html
