parish,county,from_year,to_year,comments,district,source_url
Airton,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (b).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Austwick,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Bashall Eaves,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Bentham,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Bolton by Bowland,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Bowland Forest High,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Bowland Forest Low,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Burton in Lonsdale,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Clapham cum Newby,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Easington,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Giggleswick,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Gisburn,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Gisburn Forest,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Great Mitton,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Grindleton,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Halton West,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Hanlith,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Hellifield,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (b).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Horton,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Horton in Ribblesdale,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Ingleton,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Kirkby Malham,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Langcliffe,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Lawkland,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Long Preston,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Malham,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Malham Moor,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Middop,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Nappa,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Newsholme,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Newton,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Otterburn,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (b).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Paythorne,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Rathmell,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Rimington,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Sawley,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Scosthrop,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Settle,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Slaidburn,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Stainforth,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Swinden,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Thornton in Lonsdale,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Waddington,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
West Bradford,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (c).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
Wigglesworth,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Ewecross,http://www.ukbmd.org.uk/reg/districts/ewecross.html
