parish,county,from_year,to_year,comments,district,source_url
Bicknoller,Somerset,1936,1974,"See Table 2, notes (b) and (e).",Exmoor,http://www.ukbmd.org.uk/reg/districts/exmoor.html
Brompton Ralph,Somerset,1936,1974,"See Table 2, notes (b) and (e).",Exmoor,http://www.ukbmd.org.uk/reg/districts/exmoor.html
Brompton Regis,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Exmoor,http://www.ukbmd.org.uk/reg/districts/exmoor.html
Brushford,Somerset,1936,1974,"See Table 2, notes (a), (c), (d) and (e).",Exmoor,http://www.ukbmd.org.uk/reg/districts/exmoor.html
Carhampton,Somerset,1936,1974,"See Table 2, notes (b) and (e).",Exmoor,http://www.ukbmd.org.uk/reg/districts/exmoor.html
Clatworthy,Somerset,1936,1974,"See Table 2, notes (b) and (e).",Exmoor,http://www.ukbmd.org.uk/reg/districts/exmoor.html
Crowcombe,Somerset,1936,1974,"See Table 2, notes (b) and (e).",Exmoor,http://www.ukbmd.org.uk/reg/districts/exmoor.html
Cutcombe,Somerset,1936,1974,"See Table 2, notes (b) and (e).",Exmoor,http://www.ukbmd.org.uk/reg/districts/exmoor.html
Dulverton,Somerset,1936,1974,"See Table 2, notes (a), (d) and (e).",Exmoor,http://www.ukbmd.org.uk/reg/districts/exmoor.html
Dunster,Somerset,1936,1974,"See Table 2, notes (b) and (e).",Exmoor,http://www.ukbmd.org.uk/reg/districts/exmoor.html
East Quantoxhead,Somerset,1936,1974,"See Table 2, notes (b) and (e).",Exmoor,http://www.ukbmd.org.uk/reg/districts/exmoor.html
Elworthy,Somerset,1936,1974,"See Table 2, notes (b) and (e).",Exmoor,http://www.ukbmd.org.uk/reg/districts/exmoor.html
Exford,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Exmoor,http://www.ukbmd.org.uk/reg/districts/exmoor.html
Exmoor,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Exmoor,http://www.ukbmd.org.uk/reg/districts/exmoor.html
Exton,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Exmoor,http://www.ukbmd.org.uk/reg/districts/exmoor.html
Holford,Somerset,1936,1974,"See Table 2, notes (b) and (e).",Exmoor,http://www.ukbmd.org.uk/reg/districts/exmoor.html
Huish Champflower,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Exmoor,http://www.ukbmd.org.uk/reg/districts/exmoor.html
