parish,county,from_year,to_year,comments,district,source_url
Anmer,Norfolk,1939,1974,"See Table 2, notes (a) and (e).",Fakenham,http://www.ukbmd.org.uk/reg/districts/fakenham.html
Bagthorpe with Barmer,Norfolk,1939,1974,"See Table 2, notes (a) and (e).",Fakenham,http://www.ukbmd.org.uk/reg/districts/fakenham.html
Barsham,Norfolk,1939,2011,"See Table 2, notes (d) and (f).",Fakenham,http://www.ukbmd.org.uk/reg/districts/fakenham.html
Barwick,Norfolk,1939,1974,"See Table 2, notes (a) and (e).",Fakenham,http://www.ukbmd.org.uk/reg/districts/fakenham.html
Binham,Norfolk,1939,2011,"See Table 2, notes (d) and (f).",Fakenham,http://www.ukbmd.org.uk/reg/districts/fakenham.html
Bircham,Norfolk,1939,1974,"See Table 2, notes (a) and (e).",Fakenham,http://www.ukbmd.org.uk/reg/districts/fakenham.html
Blakeney,Norfolk,1939,2011,"See Table 2, notes (d) and (f).",Fakenham,http://www.ukbmd.org.uk/reg/districts/fakenham.html
Brancaster,Norfolk,1939,1974,"See Table 2, notes (a) and (e).",Fakenham,http://www.ukbmd.org.uk/reg/districts/fakenham.html
Briningham,Norfolk,1939,2011,"See Table 2, notes (d) and (f).",Fakenham,http://www.ukbmd.org.uk/reg/districts/fakenham.html
Brinton,Norfolk,1939,2011,"See Table 2, notes (d) and (f).",Fakenham,http://www.ukbmd.org.uk/reg/districts/fakenham.html
Briston,Norfolk,1939,2011,"See Table 2, notes (c) and (f).",Fakenham,http://www.ukbmd.org.uk/reg/districts/fakenham.html
Burnham Market,Norfolk,1939,1974,"See Table 2, notes (a) and (e).",Fakenham,http://www.ukbmd.org.uk/reg/districts/fakenham.html
Burnham Norton,Norfolk,1939,1974,"See Table 2, notes (a) and (e).",Fakenham,http://www.ukbmd.org.uk/reg/districts/fakenham.html
Burnham Overy,Norfolk,1939,1974,"See Table 2, notes (a) and (e).",Fakenham,http://www.ukbmd.org.uk/reg/districts/fakenham.html
Burnham Thorpe,Norfolk,1939,1974,"See Table 2, notes (a) and (e).",Fakenham,http://www.ukbmd.org.uk/reg/districts/fakenham.html
Choseley,Norfolk,1939,1974,"See Table 2, notes (a) and (e).",Fakenham,http://www.ukbmd.org.uk/reg/districts/fakenham.html
Dersingham,Norfolk,1939,1974,"See Table 2, notes (a) and (e).",Fakenham,http://www.ukbmd.org.uk/reg/districts/fakenham.html
Docking,Norfolk,1939,1974,"See Table 2, notes (a) and (e).",Fakenham,http://www.ukbmd.org.uk/reg/districts/fakenham.html
