parish,county,from_year,to_year,comments,district,source_url
Budock,Cornwall,1837,1894,"Abolished 1894 and divided between the parishes of Budock Urban 
    and Budock Rural.",Falmouth,http://www.ukbmd.org.uk/reg/districts/falmouth.html
Budock,Cornwall,1934,2007,"Created 1.4.1934 out of the parish of Budock Rural. See also Table 
    2, note (d).",Falmouth,http://www.ukbmd.org.uk/reg/districts/falmouth.html
Budock Rural,Cornwall,1894,1934,"Created 1894 from the rural part of the parish of Budock. Abolished 
    1.4.1934 and divided between the parishes of Falmouth, Budock and Penryn.",Falmouth,http://www.ukbmd.org.uk/reg/districts/falmouth.html
Budock Urban,Cornwall,1894,1920,"Created 1894 from the part of the parish of Budock in Falmouth 
    Municipal Borough. Abolished 1.10.1920 and added to the parish of Falmouth.",Falmouth,http://www.ukbmd.org.uk/reg/districts/falmouth.html
Constantine,Cornwall,1837,2007,"See Table 2, notes (c) and (d).",Falmouth,http://www.ukbmd.org.uk/reg/districts/falmouth.html
Falmouth,Cornwall,1837,2007,"See Table 2, note (d).",Falmouth,http://www.ukbmd.org.uk/reg/districts/falmouth.html
Falmouth Borough,Cornwall,1837,1920,Also known as Falmouth Town. Abolished 1.10.1920 and added to the parish of Falmouth.,Falmouth,http://www.ukbmd.org.uk/reg/districts/falmouth.html
Mabe,Cornwall,1837,2007,"See Table 2, note (d).",Falmouth,http://www.ukbmd.org.uk/reg/districts/falmouth.html
Mawnan,Cornwall,1837,2007,"See Table 2, note (d).",Falmouth,http://www.ukbmd.org.uk/reg/districts/falmouth.html
Mylor,Cornwall,1837,1936,"See Table 2, note (b).",Falmouth,http://www.ukbmd.org.uk/reg/districts/falmouth.html
Penryn,Cornwall,1837,2007,"See Table 2, note (d).",Falmouth,http://www.ukbmd.org.uk/reg/districts/falmouth.html
Perranarworthal,Cornwall,1837,1936,"See Table 2, note (b).",Falmouth,http://www.ukbmd.org.uk/reg/districts/falmouth.html
St. Gluvias,Cornwall,1837,2007,"See Table 2, note (d).",Falmouth,http://www.ukbmd.org.uk/reg/districts/falmouth.html
Stithians,Cornwall,1936,2007,"See Table 2, notes (a) and (d).",Falmouth,http://www.ukbmd.org.uk/reg/districts/falmouth.html
