parish,county,from_year,to_year,comments,district,source_url
Ansty,Warwickshire,1837,1932,"See Table 2, note (h).",Foleshill,http://www.ukbmd.org.uk/reg/districts/foleshill.html
Bedworth,Warwickshire,1837,1932,"See Table 2, note (g).",Foleshill,http://www.ukbmd.org.uk/reg/districts/foleshill.html
Binley,Warwickshire,1837,1932,"See Table 2, notes (e), (h), (h) and (i).",Foleshill,http://www.ukbmd.org.uk/reg/districts/foleshill.html
Exhall,Warwickshire,1837,1932,"Abolished 1.4.1932 and divided between the parishes of Bedworth 
    and Coventry. See also Table 2, notes (e) and (g).",Foleshill,http://www.ukbmd.org.uk/reg/districts/foleshill.html
Foleshill,Warwickshire,1837,1932,"Abolished 1.4.1932 and divided between the parishes of Coventry 
    and Bedworth. See also Table 2, notes (c), (d), (e) and (g).",Foleshill,http://www.ukbmd.org.uk/reg/districts/foleshill.html
Keresley,Warwickshire,1837,1932,"See Table 2, notes (e) and (f).",Foleshill,http://www.ukbmd.org.uk/reg/districts/foleshill.html
Shilton,Warwickshire,1837,1932,"See Table 2, note (h).",Foleshill,http://www.ukbmd.org.uk/reg/districts/foleshill.html
Stoke,Warwickshire,1837,1928,"Abolished 1.4.1928 and added to the parish of Coventry. See 
    also Table 2, notes (c) and (d).",Foleshill,http://www.ukbmd.org.uk/reg/districts/foleshill.html
Stoke Heath,Warwickshire,1920,1928,"Created 1.10.1920 out of the parish of Wyken. Abolished 1.4.1928 
    and added to the parish of Coventry. See also Table 2, note (d).",Foleshill,http://www.ukbmd.org.uk/reg/districts/foleshill.html
Walsgrave on Sowe,Warwickshire,1837,1932,"Abolished 1.4.1932 and divided between the parishes of Coventry, 
    Bedworth, Combe Fields, Shilton and Ansty. See also Table 2, notes (d), (e), 
    (g) and (h).",Foleshill,http://www.ukbmd.org.uk/reg/districts/foleshill.html
Willenhall,Warwickshire,1837,1932,"Abolished 1.4.1932 and divided between the parishes of Coventry 
    and Baginton. See also Table 2, notes (e) and (i).",Foleshill,http://www.ukbmd.org.uk/reg/districts/foleshill.html
Withybrook,Warwickshire,1837,1932,"See Table 2, note (h).",Foleshill,http://www.ukbmd.org.uk/reg/districts/foleshill.html
Wolvey,Warwickshire,1837,1851,"See Table 2, note (a).",Foleshill,http://www.ukbmd.org.uk/reg/districts/foleshill.html
Wyken,Warwickshire,1837,1932,"Abolished 1.4.1932 and divided between the parishes of Coventry 
    and Combe Fields. See also Table 2, notes (b), (e) and (h).",Foleshill,http://www.ukbmd.org.uk/reg/districts/foleshill.html
