parish,county,from_year,to_year,comments,district,source_url
Aston,Montgomeryshire,1870,1933,"Abolished 1.4.1933 and added to the parish of Churchstoke. 
    See also Table 2, note (a).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Bausley,Montgomeryshire,1935,1935,"See Table 2, notes (d) and (g).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Berriew,Montgomeryshire,1870,1935,"See Table 2, notes (a), (b) and (g).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Brithdir,Montgomeryshire,1894,1935,"Created 1894 from the part of the parish of Berriew in Welshpool 
    Municipal Borough. See also Table 2, note (g).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Brompton & Rhiston,Shropshire,1870,1935,"See Table 2, notes (a) and (e).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Castle Caereinion,Montgomeryshire,1870,1894,"Abolished 1894 and divded into the parishes of Castle Caereinion 
    Rural and Castle Caereinion Urban. See also Table 2, note (a).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Castle Caereinion Rural,Montgomeryshire,1894,1935,"Created 1894 from the rural part of the parish of Castle Caereinion. 
    See also Table 2, note (g).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Castle Caereinion Urban,Montgomeryshire,1894,1935,"Created 1894 from the part of the parish of Castle Caereinion 
    in Welshpool Municipal Borough. See also Table 2, note (g).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Castlewright,Montgomeryshire,1870,1933,"Abolished 1.4.1933 and added to the parish of Churchstoke. 
    See also Table 2, note (a).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Chirbury,Shropshire,1870,1935,"See Table 2, notes (a) and (e).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Churchstoke,Montgomeryshire,1870,1935,"See Table 2, notes (a), (f) and (g).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Cletterwood,Montgomeryshire,1870,1922,"Abolished 1.10.1922 and added to the parish of Trewern. See 
    also Table 2, note (a).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Cyfronydd,Montgomeryshire,1870,1884,"Abolished 25.3.1884 and divided between the parishes of Castle 
    Caereinion and Pool Lower. See also Table 2, note (a).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Forden,Montgomeryshire,1870,1935,"See Table 2, notes (a) and (g).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Hope,Montgomeryshire,1870,1922,"Abolished 1.10.1922 and added to the parish of Trewern. See 
    also Table 2, note (a).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Leighton,Montgomeryshire,1870,1933,"Abolished 1.4.1933 and added to the parish of Trelystan. 
    See also Table 2, note (a).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Llandyssil,Montgomeryshire,1870,1935,"See Table 2, notes (a) and (g).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Llanmerewig,Montgomeryshire,1870,1935,"See Table 2, notes (a) and (g).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Middletown,Montgomeryshire,1870,1935,"See Table 2, notes (a) and (g).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Montgomery,Montgomeryshire,1870,1935,"See Table 2, notes (a) and (g).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Pool Lower,Montgomeryshire,1870,1900,"Abolished 26.3.1900 and added to the parish of Welshpool. 
    See also Table 2, note (a).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Pool Middle,Montgomeryshire,1870,1900,"Abolished 26.3.1900 and added to the parish of Welshpool. 
    See also Table 2, note (a).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Pool Upper,Montgomeryshire,1870,1900,"Abolished 26.3.1900 and added to the parish of Welshpool. 
    See also Table 2, note (a).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Rhosgôch,Montgomeryshire,1870,1933,"Abolished 1.4.1933 and added to the parish of Trelystan. 
    See also Table 2, note (a).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Trelystan,Montgomeryshire,1870,1935,"See Table 2, notes (a) and (g).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Trewern,Montgomeryshire,1870,1935,"See Table 2, notes (a) and (g).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Uppington,Montgomeryshire,1870,1933,"Abolished 1.4.1933 and added to the parish of Middletown. 
    See also Table 2, note (a).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Welshpool,Montgomeryshire,1900,1935,"Created 26.3.1900 from the parishes of Pool Middle, Pool Lower and Pool Upper. See also Table 2, note (g).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
Worthen,Shropshire,1870,1935,"See Table 2, notes (a), (c) and (e).",Forden,http://www.ukbmd.org.uk/reg/districts/forden.html
