parish,county,from_year,to_year,comments,district,source_url
Blaydon,Durham,1936,1938,"Created 1.4.1936 out of the parish of Winlaton. See also Table 
    2, notes (f) and (f).",Gateshead,http://www.ukbmd.org.uk/reg/districts/gateshead.html
Chopwell,Durham,1837,1937,"Abolished 1.4.1937 and added to the parish of Blaydon. See 
    also Table 2, notes (c) and (d).",Gateshead,http://www.ukbmd.org.uk/reg/districts/gateshead.html
Crawcrook,Durham,1837,1914,Abolished 1.4.1914 and added to the parish of Ryton.,Gateshead,http://www.ukbmd.org.uk/reg/districts/gateshead.html
Gateshead,Durham,1837,1974,"Abolished 1.4.1974 and added to the Gateshead unparished 
    area. See also Table 2, note (g).",Gateshead,http://www.ukbmd.org.uk/reg/districts/gateshead.html
Heworth,Durham,1837,1938,"See Table 2, note (e).",Gateshead,http://www.ukbmd.org.uk/reg/districts/gateshead.html
Heworth Within,Durham,1894,1907,"Created 1894 from the part of the parish of Heworth in Gateshead 
    County Borough. Abolished 1.4.1907 and added to the parish of Gateshead.",Gateshead,http://www.ukbmd.org.uk/reg/districts/gateshead.html
Medomsley,Durham,1901,1902,"That part which until 1.10.1901 formed part of the parish of Chopwell. 
    See also Table 2, note (c).",Gateshead,http://www.ukbmd.org.uk/reg/districts/gateshead.html
Ryton,Durham,1837,1938,"See Table 2, note (f).",Gateshead,http://www.ukbmd.org.uk/reg/districts/gateshead.html
Ryton Woodside,Durham,1837,1914,Abolished 1.4.1914 and added to the parish of Ryton.,Gateshead,http://www.ukbmd.org.uk/reg/districts/gateshead.html
Stanley,Durham,1937,1938,"That part which until 1.4.1937 formed parts of the parishes of 
    Blaydon and Whickham. See also Table 2, note (f).",Gateshead,http://www.ukbmd.org.uk/reg/districts/gateshead.html
Stella,Durham,1837,1937,Abolished 1.4.1937 and added to the parish of Blaydon.,Gateshead,http://www.ukbmd.org.uk/reg/districts/gateshead.html
Whickham,Durham,1837,1938,"See Table 2, notes (a), (b), (f) and (f).",Gateshead,http://www.ukbmd.org.uk/reg/districts/gateshead.html
Winlaton,Durham,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Blaydon, 
    Whickham and Stanley.",Gateshead,http://www.ukbmd.org.uk/reg/districts/gateshead.html
