parish,county,from_year,to_year,comments,district,source_url
Bishopston,Glamorganshire,1858,1934,"See Table 2, notes (a) and (b).",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
Brynau,Glamorganshire,1894,1918,"Created 1894 from the rural part of the parish of Oystermouth. 
    Abolished 9.11.1918 and added to the parish of Oystermouth.",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
Cheriton,Glamorganshire,1858,1934,"See Table 2, notes (a) and (b).",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
Ilston,Glamorganshire,1858,1934,"See Table 2, notes (a) and (b).",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
Knelston,Glamorganshire,1858,1934,"See Table 2, notes (a) and (b).",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
Llanddewi,Glamorganshire,1858,1934,"See Table 2, notes (a) and (b).",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
Llangennith,Glamorganshire,1858,1934,"See Table 2, notes (a) and (b).",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
Llanmadoc,Glamorganshire,1858,1934,"See Table 2, notes (a) and (b).",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
Llanrhidian Higher,Glamorganshire,1858,1934,"See Table 2, notes (a) and (b).",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
Llanrhidian Lower,Glamorganshire,1858,1934,"See Table 2, notes (a) and (b).",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
Nicholaston,Glamorganshire,1858,1934,"See Table 2, notes (a) and (b).",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
Oxwich,Glamorganshire,1858,1934,"See Table 2, notes (a) and (b).",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
Oystermouth,Glamorganshire,1858,1934,"See Table 2, notes (a) and (c).",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
Pennard,Glamorganshire,1858,1934,"See Table 2, notes (a) and (b).",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
Penmaen,Glamorganshire,1858,1934,"See Table 2, notes (a) and (b).",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
Penrice,Glamorganshire,1858,1934,"See Table 2, notes (a) and (b).",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
Port Eynon,Glamorganshire,1858,1934,"See Table 2, notes (a) and (b).",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
Reynoldston,Glamorganshire,1858,1934,"See Table 2, notes (a) and (b).",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
Rhossili,Glamorganshire,1858,1934,"See Table 2, notes (a) and (b).",Gower,http://www.ukbmd.org.uk/reg/districts/gower.html
