parish,county,from_year,to_year,comments,district,source_url
Acomb,Yorkshire West Riding,1854,1937,"Abolished 1.4.1937 and divided between the parishes of York and 
    Askham Bryan. See also Table 2, notes (d) and (j).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Aldborough,Yorkshire West Riding,1854,1938,"Abolished 1.4.1938 and added to the parish of Boroughbridge. 
    See also Table 2, note (b).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Allerton Mauleverer with Hopperton,Yorkshire West Riding,1854,1946,"See Table 2, notes (b) and (k).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Arkendale,Yorkshire West Riding,1854,1946,"See Table 2, notes (b) and (k).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Askham Bryan,Yorkshire West Riding,1937,1938,"That part which until 1.4.1937 formed part of the parish of Acomb. 
    See also Table 2, note (j).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Boroughbridge,Yorkshire West Riding,1854,1946,"See Table 2, notes (b) and (k).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Cattal,Yorkshire West Riding,1869,1946,"See Table 2, notes (e) and (k).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Clareton,Yorkshire West Riding,1856,1888,"Abolished 24.3.1888 and added to the parish of Coneythorpe 
    and Clareton. See also Table 2, note (b).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Coneythorpe,Yorkshire West Riding,1856,1888,"Abolished 24.3.1888 and added to the parish of Coneythorpe 
    and Clareton. See also Table 2, note (b).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Coneythorpe & Clareton,Yorkshire West Riding,1888,1946,"Created 24.3.1888 out of the parishes of Coneythorpe and Clareton. 
    See also Table 2, note (k).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Copgrove,Yorkshire West Riding,1854,1946,"See Table 2, notes (b) and (k).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Ellenthorpe,Yorkshire North Riding,1854,1895,"See Table 2, notes (b) and (h).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Great Ouseburn,Yorkshire West Riding,1854,1946,"See Table 2, notes (b) and (k).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Great Ribston with Walshford,Yorkshire West Riding,1869,1946,"See Table 2, notes (e) and (k).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Green Hammerton,Yorkshire West Riding,1854,1946,"See Table 2, notes (b) and (k).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Helperby,Yorkshire North Riding,1854,1895,"See Table 2, notes (a) and (f).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Hessay,Yorkshire West Riding,1854,1946,"See Table 2, notes (d) and (k).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Humberton,Yorkshire North Riding,1854,1895,"See Table 2, notes (c) and (i).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Hunsingore,Yorkshire West Riding,1869,1946,"See Table 2, notes (e) and (k).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Kirby Hall,Yorkshire West Riding,1854,1946,"See Table 2, notes (b) and (k).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Kirby Hill,Yorkshire North Riding,1854,1895,"See Table 2, notes (c) and (h).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Kirk Hammerton,Yorkshire West Riding,1854,1946,"See Table 2, notes (b) and (k).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Knapton,Yorkshire West Riding,1854,1946,"See Table 2, notes (d) and (k).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Langthorpe,Yorkshire North Riding,1854,1895,"See Table 2, notes (c) and (h).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Little Ouseburn,Yorkshire West Riding,1854,1946,"See Table 2, notes (b) and (k).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Lower Dunsforth,Yorkshire West Riding and Yorkshire North Riding,1854,1895,"On 30.9.1895 the Yorkshire North Riding part of the parish of 
    Lower Dunsforth became part of Yorkshire West Riding, so that thereafter Lower 
    Dunsforth was wholly in Yorkshire West Riding. See also Table 2, notes (b) and 
    (k).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Marton cum Grafton,Yorkshire West Riding,1854,1946,"See Table 2, notes (b) and (k).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
Milby,Yorkshire North Riding,1854,1895,"On 1.4.1895 the part in Yorkshire West Riding was transfererd 
    to Yorkshire North Riding, so that thereafter Milby was entirely in 
    Yorkshire North Riding. See Table 2, notes (c) and (i).",Great Ouseburn,http://www.ukbmd.org.uk/reg/districts/great%20ouseburn.html
