parish,county,from_year,to_year,comments,district,source_url
Ashby with Oby,Norfolk,1974,2011,"See Table 2, notes (b) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Belton,Norfolk,1974,1990,"Renamed 26.9.1990 to become the parish of Belton with 
    Browston. See also Table 2, note (c).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Belton with Broston,Norfolk,1990,2011,"Created 26.9.1990 by renaming the parish of Belton. See also 
    Table 2, note (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Bradwell,Norfolk,1974,2011,"See Table 2, notes (b) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Burgh Castle,Norfolk,1974,2011,"See Table 2, notes (b) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Caister on Sea,Norfolk,1974,2011,"See Table 2, notes (b) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Filby,Norfolk,1974,2011,"See Table 2, notes (b) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Fleggburgh,Norfolk,1974,2011,"See Table 2, notes (b) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Fritton & St. Olaves,Norfolk,1974,2011,"Created 1.4.1974 out of the parishes of Fritton and Herringfleet. 
    See also Table 2, notes (c) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Gorleston,Norfolk,1939,1974,"Abolished 1.4.1974 and added to the Great Yarmouth 
    unparished area.",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Great Yarmouth,Norfolk,1939,1974,"Abolished 1.4.1974 and added to the Great Yarmouth 
    unparished area.",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Great Yarmouth*,Norfolk,1974,2011,"Unparished area which until 1.4.1974 formed the parishes of Gorleston, Great Yarmouth and Runham 
    Vauxhall. See also Table 2, note (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Hemsby,Norfolk,1974,2011,"See Table 2, notes (b) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Hopton on Sea,Norfolk,1974,2011,"See Table 2, notes (d) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Martham,Norfolk,1974,2011,"See Table 2, notes (b) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Mautby,Norfolk,1974,2011,"See Table 2, notes (b) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Ormesby St. Margaret with Scratby,Norfolk,1974,2011,"See Table 2, notes (b) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Ormesby St. Michael,Norfolk,1974,2011,"See Table 2, notes (b) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Repps with Bastwick,Norfolk,1974,2011,"See Table 2, notes (b) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Rollesby,Norfolk,1974,2011,"See Table 2, notes (b) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Runham Vauxhall,Norfolk,1939,1974,"Abolished 1.4.1974 and added to the Great Yarmouth 
    unparished area.",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Somerton,Norfolk,1974,2011,"See Table 2, notes (b) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Stokesby with Herringby,Norfolk,1974,2011,"See Table 2, notes (b) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Thurne,Norfolk,1974,2011,"See Table 2, notes (b) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
West Caister,Norfolk,1974,2011,"See Table 2, notes (b) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
Winterton on Sea,Norfolk,1974,2011,"See Table 2, notes (b) and (d).",Great Yarmouth (1939 onw),http://www.ukbmd.org.uk/reg/districts/great%20yarmouth.html
