parish,county,from_year,to_year,comments,district,source_url
Alphamstone,Essex,1938,1972,"See Table 2, notes (g) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Ashen,Essex,1939,1972,"See Table 2, notes (i) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Belchamp Otten,Essex,1938,1972,"See Table 2, notes (g) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Belchamp St. Paul,Essex,1938,1972,"See Table 2, notes (g) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Belchamp Walter,Essex,1938,1972,"See Table 2, notes (g) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Birdbrook,Essex,1939,1972,"See Table 2, notes (i) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Borley,Essex,1938,1972,"See Table 2, notes (g) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Braintree & Bocking,Essex,1934,1938,"That part which until 1.4.1934 formed part of the parish of Gosfield. 
    See also Table 2, note (h).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Bulmer,Essex,1938,1972,"See Table 2, notes (g) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Bures,Essex,1938,1972,"See Table 2, notes (g) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Castle Hedingham,Essex,1837,1972,"See Table 2, note (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Colne Engaine,Essex,1837,1972,"See Table 2, note (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Earls Colne,Essex,1837,1972,"See Table 2, note (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Foxearth,Essex,1938,1972,"See Table 2, notes (g) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Gestingthorpe,Essex,1938,1972,"See Table 2, notes (g) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Gosfield,Essex,1837,1972,"See Table 2, notes (h), (i) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Great Henny,Essex,1938,1972,"See Table 2, notes (g) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Great Maplestead,Essex,1837,1972,"See Table 2, note (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Great Yeldham,Essex,1837,1972,"See Table 2, note (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Halstead,Essex,1837,1894,"Abolished 1894 and divided between the separate parishes of Halstead 
    Urban and Halstead Rural.",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Halstead Rural,Essex,1894,1972,"Created 1894 from the rural part of the parish of Halstead. See 
    also Table 2, note (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Halstead Urban,Essex,1894,1972,"Created 1894 from the part of the parish of Halstead in Halstead 
    Urban District. See also Table 2, note (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Helion Bumpstead,Essex,1939,1972,"See Table 2, notes (i), (j), (k) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Lamarsh,Essex,1938,1972,"See Table 2, notes (g) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Liston,Essex,1938,1972,"See Table 2, notes (g) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Little Henny,Essex,1938,1972,"See Table 2, notes (g) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Little Maplestead,Essex,1837,1972,"See Table 2, note (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Little Yeldham,Essex,1837,1972,"See Table 2, notes (f) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Middleton,Essex,1938,1972,"See Table 2, notes (g) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
North Wood,Essex,1938,1946,"Abolished 1.4.1946 and divided between the parishes of Little Yeldham 
    and Tilbury juxta Clare. See also Table 2, note (g).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Ovington,Essex,1939,1972,"See Table 2, notes (i) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Pebmarsh,Essex,1837,1972,"See Table 2, note (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Pentlow,Essex,1938,1972,"See Table 2, notes (g) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Ridgewell,Essex,1837,1972,"See Table 2, notes (c) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Sible Hedingham,Essex,1837,1972,"See Table 2, note (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Stambourne,Essex,1837,1972,"See Table 2, note (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Steeple Bumpstead,Essex,1939,1972,"See Table 2, notes (i) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Sturmer,Essex,1939,1972,"See Table 2, notes (i) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Tilbury juxta Clare,Essex,1837,1972,"See Table 2, notes (d), (e), (f) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Toppesfield,Essex,1837,1972,"See Table 2, notes (a) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Twinstead,Essex,1938,1972,"See Table 2, notes (g) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
White Colne,Essex,1837,1972,"See Table 2, notes (b) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
Wickham St. Paul,Essex,1938,1972,"See Table 2, notes (g) and (l).",Halstead,http://www.ukbmd.org.uk/reg/districts/halstead.html
