parish,county,from_year,to_year,comments,district,source_url
Alfold,Surrey,1837,1884,"On 25.3.1884 the part in Sussex became part 
    of the parish of Wisborough Green, so that thereafter Alfold was wholly in Surrey. 
    See also Table 2, notes (a), (d) and (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
Bramley,Surrey,1837,1934,"See Table 2, note (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
Chiddingfold,Surrey,1837,1934,"See Table 2, note (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
Cranleigh,Surrey,1837,1934,"See Table 2, notes (b) and (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
Dunsfold,Surrey,1837,1934,"See Table 2, note (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
Elstead,Surrey,1837,1934,"See Table 2, notes (h) and (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
Ewhurst,Surrey,1837,1934,"See Table 2, notes (c) and (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
Godalming,Surrey,1933,1934,"That part which until 1.4.1933 formed parts of the parishes of 
    Shalford and Witley. See also Table 2, note (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
Guildford,Surrey,1933,1934,"That part which until 1.4.1933 formed parts of the parishes of 
    Shalford and St. Martha. See also Table 2, note (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
Hambledon,Surrey,1837,1934,"See Table 2, notes (f) and (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
Hascombe,Surrey,1837,1934,"See Table 2, note (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
Haslemere,Surrey,1837,1934,"See Table 2, note (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
Hindhead & Churt,Surrey,1933,1934,"That part which until 1.4.1933 formed part of the parish of 
    Elstead. See also Table 2, note (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
Peper Harow,Surrey,1837,1934,"See Table 2, note (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
Shalford,Surrey,1837,1934,"See Table 2, notes (e), (h) and (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
St. Martha,Surrey,1837,1934,"See Table 2, notes (h) and (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
St. Mary,Surrey,1894,1895,"That part which until 1894 formed part of the parish of Shalford. See 
    also Table 2, note (e).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
Thursley,Surrey,1837,1934,"See Table 2, note (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
Tilford,Surrey,1933,1934,"That part which until 1.4.1933 formed part of the parish of 
    Elstead. See also Table 2, note (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
Witley,Surrey,1837,1934,"See Table 2, notes (f), (g), (h) and (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
Wonersh,Surrey,1837,1934,"See Table 2, notes (b) and (h).",Hambledon,http://www.ukbmd.org.uk/reg/districts/hambledon.html
