parish,county,from_year,to_year,comments,district,source_url
Aspall,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Athelington,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Bacton,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Badingham,East Suffolk,1907,1935,"See Table 2, notes (a) and (b).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Bedfield,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Bedingfield,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Botesdale,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Braiseworth,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Brome,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Brundish,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Burgate,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Cotton,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Denham,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Dennington,East Suffolk,1907,1935,"See Table 2, notes (a) and (b).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Eye,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Finningham,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Fressingfield,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Gislingham,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Horham,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Hoxne,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Kenton,East Suffolk,1935,1974,"See Table 2, note (c).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Laxfield,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Mellis,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Mendham,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Mendlesham,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Metfield,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Monk Soham,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Oakley,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Occold,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Palgrave,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Redgrave,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Redlingfield,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Rickinghall Superior,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Rishangles,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Saxtead,East Suffolk,1907,1935,"See Table 2, notes (a) and (b).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Southolt,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Stoke Ash,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Stradbroke,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Stuston,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Syleham,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Tannington,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Thorndon,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Thornham Magna,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Thornham Parva,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Thrandeston,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Thwaite,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Westhorpe,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Wetheringsett cum Brockford,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Weybread,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Wickham Skeith,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Wilby,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Wingfield,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Worlingworth,East Suffolk,1907,1974,"See Table 2, note (a).",Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Wortham,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Wyverstone,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
Yaxley,Suffolk,1837,1889,,Hartismere,http://www.ukbmd.org.uk/reg/districts/hartismere.html
