parish,county,from_year,to_year,comments,district,source_url
Ayot St. Lawrence,Hertfordshire,1837,2008,"See Table 2, note (g).",Hatfield,http://www.ukbmd.org.uk/reg/districts/hatfield.html
Ayot St. Peter,Hertfordshire,1837,2008,"See Table 2, note (g).",Hatfield,http://www.ukbmd.org.uk/reg/districts/hatfield.html
Bishop's Hatfield,Hertfordshire,1837,1951,"Abolished 1.10.1951 and divided between the parishes of Hatfield 
    and Welwyn Garden City. See also Table 2, note (c).",Hatfield,http://www.ukbmd.org.uk/reg/districts/hatfield.html
Digswell,Hertfordshire,1837,1935,Abolished 1.4.1935 and added to the parish of Welwyn.,Hatfield,http://www.ukbmd.org.uk/reg/districts/hatfield.html
Essendon,Hertfordshire,1837,2008,"See Table 2, note (g).",Hatfield,http://www.ukbmd.org.uk/reg/districts/hatfield.html
Hatfield,Hertfordshire,1951,2008,"Created 1.10.1951 out of the parishes of Bishop's Hatfield and 
    Welwyn Garden City. See also Table 2, note (g).",Hatfield,http://www.ukbmd.org.uk/reg/districts/hatfield.html
North Mymms,Hertfordshire,1837,2008,"See Table 2, notes (d) and (g).",Hatfield,http://www.ukbmd.org.uk/reg/districts/hatfield.html
Northaw,Hertfordshire,1837,1982,Renamed 23.2.1982 to become the parish of Northaw & Cuffley.,Hatfield,http://www.ukbmd.org.uk/reg/districts/hatfield.html
Northaw & Cuffley,Hertfordshire,1982,2008,"Created 23.2.1982 by renaming the parish of Northaw. See also 
    Table 2, note (g).",Hatfield,http://www.ukbmd.org.uk/reg/districts/hatfield.html
Welwyn,Hertfordshire,1837,2008,"See Table 2, notes (a), (f) and (g).",Hatfield,http://www.ukbmd.org.uk/reg/districts/hatfield.html
Welwyn Garden City,Hertfordshire,1921,1974,"Created 1.10.1921 from the parishes of Hatfield, Digswell, Tewin and Welwyn. Abolished 1.4.1974 to become the Welwyn Hatfield unparished area. 
    See also Table 2, notes (b) and (e).",Hatfield,http://www.ukbmd.org.uk/reg/districts/hatfield.html
Welwyn Hatfield,Hertfordshire,1974,2008,"Unparished area which until 1.4.1974 formed the parish of Welwyn 
    Garden City. See also Table 2, note (g).",Hatfield,http://www.ukbmd.org.uk/reg/districts/hatfield.html
Woolmer Green,Hertfordshire,2000,2008,"Created 1.4.2000 out of the parish of Welwyn. See also Table 
    2, note (g).",Hatfield,http://www.ukbmd.org.uk/reg/districts/hatfield.html
