parish,county,from_year,to_year,comments,district,source_url
Abbots Langley,Hertfordshire,1935,1939,"That part which until 1.4.1935 formed part of the parish of 
    King's Langley. See also Table 2, note (h).",Hemel Hempstead,http://www.ukbmd.org.uk/reg/districts/hemel%20hempstead.html
Bovingdon,Hertfordshire,1837,1974,"See Table 2, notes (b) and (l).",Hemel Hempstead,http://www.ukbmd.org.uk/reg/districts/hemel%20hempstead.html
Chipperfield,Hertfordshire,1958,1974,"Created 1.4.1958 out of the parish of King's Langley. See also 
    Table 2, note (l).",Hemel Hempstead,http://www.ukbmd.org.uk/reg/districts/hemel%20hempstead.html
Flamstead,Hertfordshire,1837,1974,"See Table 2, notes (a), (c), (d), (e), (f), (j), (k) and (l).",Hemel Hempstead,http://www.ukbmd.org.uk/reg/districts/hemel%20hempstead.html
Flaunden,Hertfordshire,1837,1974,"See Table 2, notes (b) and (l).",Hemel Hempstead,http://www.ukbmd.org.uk/reg/districts/hemel%20hempstead.html
Great Gaddesden,Hertfordshire,1837,1974,"See Table 2, note (l).",Hemel Hempstead,http://www.ukbmd.org.uk/reg/districts/hemel%20hempstead.html
Hemel Hempstead,Hertfordshire,1837,1974,"Abolished 1.4.1974 and added to the Dacorum unparished area. See also Table 2, notes 
    (f), (g), (i) and (l).",Hemel Hempstead,http://www.ukbmd.org.uk/reg/districts/hemel%20hempstead.html
King's Langley,Hertfordshire,1837,1974,"See Table 2, notes (e), (h), (i) and (l).",Hemel Hempstead,http://www.ukbmd.org.uk/reg/districts/hemel%20hempstead.html
Markyate,Hertfordshire,1897,1974,"Created 30.9.1897 out of the parishes of Flamstead, Caddington, 
    Humbershoe and Houghton Regis. See also Table 2, notes (a), (c), (d), (j) and 
    (l).",Hemel Hempstead,http://www.ukbmd.org.uk/reg/districts/hemel%20hempstead.html
Redbourn,Hertfordshire,1935,1939,"That part which until 1.4.1935 formed part of the parish of 
    Flamstead. See also Table 2, note (f).",Hemel Hempstead,http://www.ukbmd.org.uk/reg/districts/hemel%20hempstead.html
St. Michael Rural,Hertfordshire,1935,1939,"That part which until 1.4.1935 formed part of the parish of 
    Hemel Hempstead. See also Table 2, note (f).",Hemel Hempstead,http://www.ukbmd.org.uk/reg/districts/hemel%20hempstead.html
