parish,county,from_year,to_year,comments,district,source_url
Arminghall,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Bixley.,Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Bixley,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Bracon Ash,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Bramerton,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Caistor St. Edmund,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Colney,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Cringleford,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Dunston,Norfolk,1837,1935,"Abolished 1.4.1935 and added to the parish of Stoke Holy 
    Cross.",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
East Carleton,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Flordon,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Framingham Earl,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Framingham Pigot,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Great Melton,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Hethel,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Bracon Ash.,Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Hethersett,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Holverston,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Intwood,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Keswick.,Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Keswick,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Ketteringham,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Kirby Bedon,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Little Melton,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Markshall,Norfolk,1837,1935,"Abolished 1.4.1935 and added to the parish of Caister St. 
    Edmund.",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Mulbarton,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Newton Flotman,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Poringland,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Rockland St. Mary,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Saxlingham Nethergate,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Saxlingham Thorpe,Norfolk,1837,1925,"Abolished 1.4.1925 and added to the parish of Saxlingham 
    Nethergate.",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Shotesham,Norfolk,1935,1938,"Created 1.4.1935 out of the parishes of Shotesham All Saints and 
    Shotesham St. Mary. See also Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Shotesham All Saints,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Shotesham.,Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Shotesham St. Mary,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Shotesham.,Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Stoke Holy Cross,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Surlingham,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Swainsthorpe,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Swardeston,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Thorpe next Norwich,Norfolk,1935,1938,"That part which until 1.4.1935 formed part of the parish of Trowse with Newton. See 
    also Table 2, note (a).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Trowse with Newton,Norfolk,1837,1938,"See Table 2, notes (a) and (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Whitlingham,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Kirby Bedon.,Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
Wreningham,Norfolk,1837,1938,"See Table 2, note (b).",Henstead,http://www.ukbmd.org.uk/reg/districts/henstead.html
