parish,county,from_year,to_year,comments,district,source_url
Asgarby,Lincolnshire,1837,1889,"See Table 2, note (d).",Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Ashby Puerorum,Lincolnshire,1837,1889,Abolished 1.4.1936 and added to the parish of Somersby.,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Asterby,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Bag Enderby,Lincolnshire,1837,1889,Abolished 1.4.1936 and added to the parish of Somersby.,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Baumber,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Belchford,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Benniworth,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Bucknall,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Cawkwell,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Claxby Pluckacre,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Coningsby,Lincolnshire,1837,1889,"See Table 2, notes (a), (f), (g) and (h).",Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Dalderby,Lincolnshire,1837,1889,"Abolished 1.4.1936 and added to the parish of Roughton. See 
    also Table 2, note (a).",Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
East Barkwith,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Edlington,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Fulletby,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Gautby,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Goulceby,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Great Sturton,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Greetham,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Hagworthingham,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Haltham,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Hameringham,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Hatton,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Haven Bank,Lincolnshire,1837,1884,"Abolished 25.3.1884 and divided between the parishes of Wildmore 
    and Coningsby.",Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Hemingby,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
High Toynton,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Horncastle,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Horsington,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Kirkby on Bain,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Kirkstead,Lincolnshire,1837,1889,"See Table 2, note (a).",Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Langriville,Lincolnshire,1904,1904,"That part which until 1.4.1904 formed part of the parish of Coningsby. 
    See also Table 2, note (h).",Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Langton,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Langton by Wragby,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Low Toynton,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Lusby,Lincolnshire,1837,1889,"See Table 2, note (e).",Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Mareham-le-Fen,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Mareham on the Hill,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Market Stainton,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Martin,Lincolnshire,1837,1889,"Abolished 1.4.1936 and added to the parish of Martin. See 
    also Table 2, note (a).",Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Miningsby,Lincolnshire,1837,1889,"See Table 2, note (d).",Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Minting,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Moorby,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Panton,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Ranby,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Revesby,Lincolnshire,1837,1889,"See Table 2, notes (a) and (d).",Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Roughton,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Salmonby,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Scamblesby,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Scrafield,Lincolnshire,1837,1889,"Abolished 1.4.1936 and added to the parish of Mareham on 
    the Hill.",Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Scrivelsby,Lincolnshire,1837,1889,"See Table 2, note (a).",Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Somersby,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Sotby,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Stixwould,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Tattershall,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Tattershall Thorpe,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Tetford,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Thimbleby,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Thornton,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Tumby,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Tupholme,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Waddingworth,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
West Ashby,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
West Barkwith,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
West Torrington,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Wildmore,Lincolnshire,1881,1889,"Created 3.6.1881 out of the parishes of High Toynton, Horncastle, 
    Low Toynton, Mareham on the Hill, Moorby, Thimbleby, West Ashby and Wood Enderby, 
    with detached parts of the parishes of Bolingbroke, Coningsby, Haltham, Roughton, 
    Tattershall, Thornton-le-Fen, Toynton All Saints and Wilksby. See also Table 
    2, notes (b), (c) and (i).",Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Wilksby,Lincolnshire,1837,1889,Abolished 1.4.1936 and added to the parish of Wood Enderby.,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Winceby,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Wispington,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Wood Enderby,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Woodhall,Lincolnshire,1837,1889,"See Table 2, note (a).",Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Woodhall Spa,Parts of Lindsey,1894,1974,"Created 29.9.1894 out of the parishes of Woodhall, Martin and 
    Roughton.",Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
Wragby,Lincolnshire,1837,1889,,Horncastle,http://www.ukbmd.org.uk/reg/districts/horncastle.html
