parish,county,from_year,to_year,comments,district,source_url
Billingshurst,Sussex,1870,1889,"See Table 2, notes (b), (h) and (l).",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
Broadbridge Heath,West Sussex,1987,2010,"Created 1.4.1987 out of the parishes of Horsham Rural, 
    Slinford and Warnham. See also Table 2, note (l).",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
Colgate,West Sussex,1987,2010,"Created 1.4.1987 out of the parishes of Horsham Rural, Lower 
    Beeding and Rusper. See also Table 2, note (l).",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
Cowfold,West Sussex,1897,2010,"See Table 2, notes (g) and (l).",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
Crawley,Sussex,1880,1889,"Abolished 1.4.1974 and added to the Crawley unparished area. See also Table 
    2, notes (e), (i) and (j).",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
Horsham,Sussex,1837,1889,"Abolished 1.4.1974 to become an unparished area. See also Table 
    2, note (d).",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
Horsham*,West Sussex,1974,2010,"Unparished area which until 1.4.1974 formed the parish of Horsham. See also Table 2, note 
    (l).",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
Horsham Rural,West Sussex,1894,1987,"Created 1894 from the rural part of the parish of Horsham. 
    Abolished 1.4.1987 and added to the Horsham unparished area and the 
    parishes of Broadbridge Heath, Colgate, Itchingfield, North Horsham, 
    Nuthurst, Rusper, Slinfold, Southwater and Warnham.",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
Ifield,Sussex,1837,1889,Abolished 1.4.1933 and added to the parish of Crawley.,Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
Itchingfield,Sussex,1837,1889,"See Table 2, note (l).",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
Lower Beeding,Sussex,1837,1889,"See Table 2, notes (k) and (l).",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
North Horsham,West Sussex,1987,2010,"Created 1.4.1987 out of the Horsham unparished area and part 
    of the parish of Horsham Rural. See also Table 2, note (l).",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
Nuthurst,Sussex,1837,1889,"See Table 2, notes (c) and (l).",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
Rudgwick,Sussex,1870,1889,"See Table 2, notes (a) and (l).",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
Rusper,Sussex,1837,1889,"See Table 2, notes (k) and (l).",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
Shipley,Sussex,1837,1889,"See Table 2, note (l).",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
Slinfold,Sussex,1837,1889,"See Table 2, note (l).",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
Southwater,West Sussex,1987,2010,"Created 1.4.1987 out of the parishes of Horsham Rural and 
    Itchingfield. See also Table 2, note (l).",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
Warnham,Sussex,1837,1889,"See Table 2, note (l).",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
West Grinstead,Sussex,1837,1889,"See Table 2, notes (f) and (l).",Horsham,http://www.ukbmd.org.uk/reg/districts/horsham.html
