parish,county,from_year,to_year,comments,district,source_url
Breage,Cornwall,1936,2007,"See Table 2, notes (a) and (c).",Kerrier,http://www.ukbmd.org.uk/reg/districts/kerrier.html
Crowan,Cornwall,1936,2007,"See Table 2, notes (a) and (c).",Kerrier,http://www.ukbmd.org.uk/reg/districts/kerrier.html
Cury,Cornwall,1936,2007,"See Table 2, notes (a) and (c).",Kerrier,http://www.ukbmd.org.uk/reg/districts/kerrier.html
Germoe,Cornwall,1936,2007,"See Table 2, notes (a) and (c).",Kerrier,http://www.ukbmd.org.uk/reg/districts/kerrier.html
Grade Ruan,Cornwall,1936,2007,"See Table 2, notes (a) and (c).",Kerrier,http://www.ukbmd.org.uk/reg/districts/kerrier.html
Gunwalloe,Cornwall,1936,2007,"See Table 2, notes (a) and (c).",Kerrier,http://www.ukbmd.org.uk/reg/districts/kerrier.html
Gweek,Cornwall,1985,2007,"Created 1.4.1985 out of the parishes of Constantine, Mawgan in Meneage and Wendron. See also Table 2, note (c).",Kerrier,http://www.ukbmd.org.uk/reg/districts/kerrier.html
Helston,Cornwall,1936,2007,"See Table 2, notes (a) and (c).",Kerrier,http://www.ukbmd.org.uk/reg/districts/kerrier.html
Landewednack,Cornwall,1936,2007,"See Table 2, notes (a) and (c).",Kerrier,http://www.ukbmd.org.uk/reg/districts/kerrier.html
Manaccan,Cornwall,1936,2007,"See Table 2, notes (a) and (c).",Kerrier,http://www.ukbmd.org.uk/reg/districts/kerrier.html
Mawgan in Meneage,Cornwall,1936,2007,"See Table 2, notes (a) and (c).",Kerrier,http://www.ukbmd.org.uk/reg/districts/kerrier.html
Mullion,Cornwall,1936,2007,"See Table 2, notes (a) and (c).",Kerrier,http://www.ukbmd.org.uk/reg/districts/kerrier.html
Porthleven,Cornwall,1985,2007,"Created 1.4.1985 out of the parishes of Porthleven and 
    Sithney. See also Table 2, note (c).",Kerrier,http://www.ukbmd.org.uk/reg/districts/kerrier.html
Sithney,Cornwall,1936,2007,"See Table 2, notes (a) and (c).",Kerrier,http://www.ukbmd.org.uk/reg/districts/kerrier.html
St. Anthony in Meneage,Cornwall,1936,2007,"See Table 2, notes (a) and (c).",Kerrier,http://www.ukbmd.org.uk/reg/districts/kerrier.html
St. Keverne,Cornwall,1936,2007,"See Table 2, notes (a) and (c).",Kerrier,http://www.ukbmd.org.uk/reg/districts/kerrier.html
St. Martin in Meneage,Cornwall,1936,2007,"See Table 2, notes (a) and (c).",Kerrier,http://www.ukbmd.org.uk/reg/districts/kerrier.html
Wendron,Cornwall,1936,2007,"See Table 2, notes (a) and (c).",Kerrier,http://www.ukbmd.org.uk/reg/districts/kerrier.html
