parish,county,from_year,to_year,comments,district,source_url
Bewdley,Worcestershire,1837,1974,"See Table 2, note (a).",Kidderminster,http://www.ukbmd.org.uk/reg/districts/kidderminster.html
Broom,Staffordshire,1837,1844,"Transferred from Staffordshire to Worcestershire on 20.10.1844. 
    Abolished 1.4.1953 and added to the parish of Broome.",Kidderminster,http://www.ukbmd.org.uk/reg/districts/kidderminster.html
Broome,Worcestershire,1953,1974,Created 1.4.1953 out of the parishes of Broom and Chaddesley Corbett.,Kidderminster,http://www.ukbmd.org.uk/reg/districts/kidderminster.html
Chaddesley Corbett,Worcestershire,1837,1974,,Kidderminster,http://www.ukbmd.org.uk/reg/districts/kidderminster.html
Churchill,Worcestershire,1837,1933,"Abolished 1.4.1933 and added to the parish of Churchill & 
    Blakedown.",Kidderminster,http://www.ukbmd.org.uk/reg/districts/kidderminster.html
Churchill & Blakedown,Worcestershire,1933,1974,"Created 1.4.1933 out of the parishes of Hagley, Churchill and 
    Kidderminster Foreign. See also Table 2, note (c).",Kidderminster,http://www.ukbmd.org.uk/reg/districts/kidderminster.html
Dowles,Shropshire,1837,1895,"Transferred from Shropshire to Worcestershire on 30.9.1895. Abolished 
    1.4.1933 and divided between the parishes of Bewdley, Upper Arley and Kidderminster 
    Foreign.",Kidderminster,http://www.ukbmd.org.uk/reg/districts/kidderminster.html
Kidderminster Borough,Worcestershire,1837,1974,Abolished 1.4.1974 to become the Wyre Forest unparished area.,Kidderminster,http://www.ukbmd.org.uk/reg/districts/kidderminster.html
Kidderminster Foreign,Worcestershire,1837,1974,,Kidderminster,http://www.ukbmd.org.uk/reg/districts/kidderminster.html
Lower Mitton,Worcestershire,1837,1928,"Abolished 1.4.1928 and added to the parish of Stourport. 
    See also Table 2, note (b).",Kidderminster,http://www.ukbmd.org.uk/reg/districts/kidderminster.html
Ribbesford,Worcestershire,1837,1974,,Kidderminster,http://www.ukbmd.org.uk/reg/districts/kidderminster.html
Rock,Worcestershire,1934,1974,"See Table 2, note (d).",Kidderminster,http://www.ukbmd.org.uk/reg/districts/kidderminster.html
Rushock,Worcestershire,1837,1974,,Kidderminster,http://www.ukbmd.org.uk/reg/districts/kidderminster.html
Stone,Worcestershire,1837,1974,,Kidderminster,http://www.ukbmd.org.uk/reg/districts/kidderminster.html
Stourport,Worcestershire,1928,1974,"Created 1.4.1928 from the parishes of Lower Mitton and Upper Mitton. 
    See also Table 2, notes (e), (f) and (g).",Kidderminster,http://www.ukbmd.org.uk/reg/districts/kidderminster.html
Upper Arley,Staffordshire,1837,1895,Transferred from Staffordshire to Worcestershire on 30.9.1895.,Kidderminster,http://www.ukbmd.org.uk/reg/districts/kidderminster.html
Wolverley,Worcestershire,1837,1974,Renamed 1.4.1974 to become the parish of Wolverley & Cookley.,Kidderminster,http://www.ukbmd.org.uk/reg/districts/kidderminster.html
Wribbenhall,Worcestershire,1901,1974,Created 1.4.1901 out of the parish of Kidderminster Foreign.,Kidderminster,http://www.ukbmd.org.uk/reg/districts/kidderminster.html
