parish,county,from_year,to_year,comments,district,source_url
Agglethorpe with Coverham,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Akebar,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Arrathorne,Yorkshire North Riding,1837,1936,"See Table 2, notes (e) and (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Barden,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Bellerby,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Burrill with Cowling,Yorkshire North Riding,1837,1869,"See Table 2, note (a).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Burton upon Ure,Yorkshire North Riding,1837,1869,"See Table 2, note (a).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Caldbergh with East Scrafton,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Carlton Highdale,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Carlton Town,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Castle Bolton,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Clifton upon Ure,Yorkshire North Riding,1837,1869,"See Table 2, note (a).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Colsterdale,Yorkshire North Riding,1894,1936,"Created 1894 from the rural part of the parish of Healey with 
    Sutton. See also Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Constable Burton,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
East Hauxwell,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
East Witton Out,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
East Witton Town,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Ellingstring,Yorkshire North Riding,1837,1936,"See Table 2, notes (d) and (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Ellingtons,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Fearby,Yorkshire North Riding,1837,1936,"See Table 2, notes (d) and (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Finghall,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Garriston,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Harmby,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Healey,Yorkshire North Riding,1934,1936,"Created 1.4.1934 out of the parishes of Healey with Sutton, Masham 
    Moor, Ellingstring and Fearby. See also Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Healey with Sutton,Yorkshire North Riding,1837,1934,"Abolished 1.4.1934 and divided between the parishes of Healey and 
    Ilton cum Pott. See also Table 2, notes (b), (c), (e) and (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Hornby,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Hunton,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Hutton Hang,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Ilton cum Pott,Yorkshire North Riding,1934,1936,"That part which until 1.4.1934 formed parts of the parishes of 
    Fearby, Healey with Sutton and Masham Moor. See also Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Leyburn,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Masham Moor,Yorkshire North Riding,1837,1934,"Abolished 1.4.1934 and divided between the parishes of Healey, 
    Colsterdale and Ilton cum Pott. See also Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Melmerby,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Middleham,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Newton-le-Willows,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Patrick Brompton,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Preston under Scar,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Redmire,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
Rookwith,Yorkshire North Riding,1837,1869,"See Table 2, note (a).",Leyburn,http://www.ukbmd.org.uk/reg/districts/leyburn.html
