parish,county,from_year,to_year,comments,district,source_url
Alrewas,Staffordshire,1837,1996,"Renamed 1.2.1996 to become the parish of Alrewas & Fradley. See 
    also Table 2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Alrewas & Fradley,Staffordshire,1996,2008,"Created 1.2.1996 by renaming the parish of Alrewas. See also Table 
    2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Alrewas Hays,Staffordshire,1837,1884,Abolished 25.3.1884 and added to the parish of Alrewas.,Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Anslow,Staffordshire,1939,1974,"See Table 2, notes (j) and (s).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Armitage with Handsacre,Staffordshire,1837,2008,"See Table 2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Barton under Needwood,Staffordshire,1939,1974,"See Table 2, notes (j) and (s).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Branston,Staffordshire,1939,1974,"See Table 2, notes (j) and (s).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Brereton,Staffordshire,1894,1934,"Created 1894 from the rural part of the parish of Rugeley. Abolished 
    1.4.1934 and divided between the parishes of Rugeley, Brindley Heath, Cannock, 
    Brewood and Armitage with Handsacre. See also Table 2, note (f).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Brindley Heath,Staffordshire,1934,1974,"Created 1.4.1934 out of the parish of Brereton. See also Table 
    2, note (r).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Burntwood,Staffordshire,1929,2008,"Created 1.4.1929 out of the parish of Burntwood Edial & Woodhouses. 
    See also Table 2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
"Burntwood, Edial & Woodhouses",Staffordshire,1837,1929,"Abolished 1.4.1929 and divided between the parishes of Burntwood 
    and Farewell & Chorley.",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Cannock,Staffordshire,1934,1935,"That part which untill 1.4.1934 formed part of the parish of 
    Brereton. See also Table 2, note (f).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Clifton Campville,Staffordshire,1939,2008,"See Table 2, notes (i), (t) and (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Colton,Staffordshire,1837,2008,"See Table 2, notes (a), (b), (g), (h) and (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Curborough & Elmhurst,Staffordshire,1837,2008,"See Table 2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Drayton Bassett,Staffordshire,1939,2008,"See Table 2, notes (i) and (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Dunstall,Staffordshire,1939,1974,"See Table 2, notes (j) and (s).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Edingale,Staffordshire,1939,2008,"See Table 2, notes (i) and (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Elford,Staffordshire,1837,2008,"See Table 2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Farewell & Chorley,Staffordshire,1837,2008,"See Table 2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Fazeley,Staffordshire,1939,2008,"See Table 2, notes (i) and (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Fisherwick,Staffordshire,1837,2008,"See Table 2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Fradley,Staffordshire,1837,1884,Abolished 25.3.1884 and added to the parish of Alrewas.,Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Freeford,Staffordshire,1837,1934,Abolished 1.4.1934 and added to the parish of Swinfen & Packington.,Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Fulfen,Staffordshire,1837,1934,"Abolished 1.4.1934 and added to the parish of Whittington 
    and Streethay.",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Hammerwich,Staffordshire,1837,2008,"See Table 2, notes (m), (n) and (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Hamstall Ridware,Staffordshire,1837,2008,"See Table 2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Hanbury,Staffordshire,1939,1974,"See Table 2, notes (j) and (s).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Harlaston,Staffordshire,1939,2008,"See Table 2, notes (i) and (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Haselour,Staffordshire,1837,1934,Abolished 1.4.1934 and added to the parish of Harlaston.,Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Hints,Staffordshire,1939,2008,"See Table 2, notes (i) and (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
King's Bromley,Staffordshire,1837,2008,"See Table 2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
King's Bromley Hays,Staffordshire,1837,1922,Abolished 1.4.1922 and added to the parish of King's Bromley.,Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Lichfield*,Staffordshire,1974,1980,"Unparished area which until 1.4.1974 formed the parishes of St. 
    Chad, St. Michael and The Close. Abolished 1.4.1980 and divided between the parishes of Lichfield, Swinfen & Packington and Whittington.",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Lichfield,Staffordshire,1980,2008,"Created 1.4.1980 out of the Lichfield unparished area  and 
    parts of the 
    parishes of Burntwood, Streethay, Swinfen & Packington and Wall. See also Table 
    2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Longdon,Staffordshire,1837,2008,"See Table 2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Mavesyn Ridware,Staffordshire,1837,2008,"See Table 2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Ogley Hay,Staffordshire,1837,1935,"See Table 2, note (f).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Ogley Hay Rural,Staffordshire,1896,1934,"Created 1.4.1896 out of the rural part of the parish of Ogley 
    Hay. Abolished 1.4.1934 and added to the parish of Hammerwich.",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Orgreave,Staffordshire,1837,1884,Abolished 25.3.1884 and added to the parish of Alrewas.,Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Outwoods,Staffordshire,1939,1974,"See Table 2, notes (j) and (s).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Pipe Ridware,Staffordshire,1837,1934,Abolished 1.4.1934 and added to the parish of Mavesyn Ridware.,Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Pipe Hill,Staffordshire,1837,1894,"Abolished 1894 and divided between the parishes of Wall and St. 
    Michael.",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Rolleston,Staffordshire,1939,1974,"See Table 2, notes (j) and (s).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Rugeley,Staffordshire,1837,1974,"Abolished 1.4.1974 and added to the Cannock Chase unparished area. See also Table 
    2, note (r).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Shenstone,Staffordshire,1837,2008,"See Table 2, notes (d), (m), (o), (p), (q) and (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Shire Oak,Staffordshire,1894,1935,"Created 1894 out of the part of the parish of Shenstone in Brownhills 
    Urban District. See also Table 2, note (f).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
St. Chad,Staffordshire,1837,1974,Abolished 1.4.1974 and added to the Lichfield unparished area.,Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
St. Michael,Staffordshire,1837,1974,Abolished 1.4.1974 and added to the Lichfield unparished area.,Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Streethay,Staffordshire,1837,2008,"See Table 2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Stretton,Staffordshire,1939,1974,"See Table 2, notes (j) and (s).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Sutton Coldfield,Warwickshire,1931,1932,"That part which untill 1.4.1931 formed part of the parish of Shenstone. See 
    also Table 2, note (d).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Swinfen & Packington,Staffordshire,1837,2008,"See Table 2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Tamhorn,Staffordshire,1837,1934,Abolished 1.4.1934 and added to the parish of Fisherwick.,Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Tamworth,Staffordshire,1939,1974,"Abolished 1.4.1974 to become an unparished area. See also Table 
    2, notes (i), (k) and (l).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Tamworth*,Staffordshire,1974,2008,"Unparished area which until 1.4.1974 formed the parish of Tamworth. See also Table 2, note 
    (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Tatenhill,Staffordshire,1939,1974,"See Table 2, notes (j) and (s).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
The Close,Staffordshire,1837,1974,Abolished 1.4.1974 and added to the Lichfield unparished area.,Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
The Friary,Staffordshire,1837,1934,Abolished 1.4.1934 and added to the parish of St. Michael.,Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Thorpe Constantine,Staffordshire,1939,2008,"See Table 2, notes (i) and (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Tutbury,Staffordshire,1939,1974,"See Table 2, notes (j) and (s).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Wall,Staffordshire,1837,2008,"See Table 2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Weeford,Staffordshire,1837,2008,"See Table 2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Whittington,Staffordshire,1837,2008,"See Table 2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Wiggington,Staffordshire,1939,1993,"Renamed 1.9.1993 to create the parish of Wigginton & Hopwas. 
    See also Table 2, note (i).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Wigginton & Hopwas,Staffordshire,1993,2008,"Created 1.9.1993 by renaming the parish of Wiggington. See also 
    Table 2, note (u).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
Wychnor,Staffordshire,1939,1974,"See Table 2, notes (j) and (s).",Lichfield,http://www.ukbmd.org.uk/reg/districts/lichfield.html
