parish,county,from_year,to_year,comments,district,source_url
Aisthorpe,Lincolnshire,1837,1889,"See Table 2, note (b).",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Apley,Lincolnshire,1837,1889,"See Table 2, note (b).",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Aubourn,Lincolnshire,1837,1889,"Abolished 1.4.1931 and added to the parish of Aubourn, Haddington 
    & South Hykeham.",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
"Aubourn, Haddington & South Hykeham",Parts of Kesteven,1931,1933,"Created 1.4.1931 from the separate parishes of Aubourn, Haddington and South Hykeham. See also Table 2, note (a).",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Bardney,Lincolnshire,1837,1889,"See Table 2, note (b).",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Barlings,Lincolnshire,1837,1889,"See Table 2, note (b).",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Bishop's Palace,Lincolnshire,1837,1907,Abolished 1.4.1907 and added to the parish of Lincoln.,Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Boothby Graffoe,Lincolnshire,1837,1889,"See Table 2, note (a).",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Boultham,Lincolnshire,1837,1889,Abolished 9.11.1920 and added to the parish of Lincoln.,Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Bracebridge,Lincolnshire,1837,1889,Abolished 9.11.1920 and added to the parish of Lincoln.,Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Bracebridge Heath,Parts of Kesteven,1898,1933,"Created 1.4.1898 from the rural part of the parish of Bracebridge. 
    See also Table 2, note (a).",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Branston,Lincolnshire,1837,1889,"Abolished 1.4.1931 and added to the parish of Branston & 
    Mere.",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Branston & Mere,Parts of Kesteven,1931,1933,"Created 1.4.1931 from the separate parishes of Branston and Mere. 
    See also Table 2, note (a).",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Brattleby,Lincolnshire,1837,1889,"See Table 2, note (b).",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Broxholme,Lincolnshire,1837,1889,"See Table 2, note (b).",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Bullington,Lincolnshire,1837,1889,"See Table 2, note (b).",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Burton,Lincolnshire,1837,1889,"See Table 2, note (b).",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Caenby,Lincolnshire,1837,1889,"See Table 2, note (b).",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Cammeringham,Lincolnshire,1837,1889,"See Table 2, note (b).",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Canwick,Lincolnshire,1837,1889,"See Table 2, note (a).",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Castle Dykings,Lincolnshire,1837,1888,"Abolished 24.3.1888 and added to the parish of St. Paul in 
    the Bail.",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Cherry Willingham,Lincolnshire,1837,1889,"See Table 2, note (b).",Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
Cold Bath House,Lincolnshire,1837,1907,Abolished 1.4.1907 and added to the parish of Lincoln.,Lincoln,http://www.ukbmd.org.uk/reg/districts/lincoln.html
