parish,county,from_year,to_year,comments,district,source_url
Cilycwm,Carmarthenshire,1837,1935,"See Table 2, note (c).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Conwil Gaio,Carmarthenshire,1837,1935,"See Table 2, note (c).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Llanddeusant,Carmarthenshire,1837,1935,"See Table 2, note (c).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Llandingat,Carmarthenshire,1837,1894,"Abolished 1894 to become the separate parishes of Llandingat Within 
    and Llandingat Without.",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Llandingat Within,Carmarthenshire,1894,1935,"Created 1894 from the rural part of the parish of Llandingat. 
    See also Table 2, note (c).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Llandingat Without,Carmarthenshire,1894,1935,"Created 1894 from the part of the parish of Llandingat in Llandovery 
    Municipal Borough. See also Table 2, note (c)",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Llandulas,Brecknockshire,1837,1897,"See Table 2, note (b).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Llanfairarybryn,Carmarthenshire,1837,1935,"See Table 2, note (c).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Llangadock,Carmarthenshire,1837,1935,"See Table 2, note (c).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Llansadwrn,Carmarthenshire,1837,1935,"See Table 2, note (c).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Llanwrda,Carmarthenshire,1837,1935,"See Table 2, note (c).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Llanwrtyd,Brecknockshire,1837,1897,"See Table 2, note (b).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Myddfai,Carmarthenshire,1837,1935,"See Table 2, note (c).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
Quarter Bach,Carmarthenshire,1881,1882,"Created 25.3.1882 out of the parish of Llangadock. See also Table 
    2, note (a).",Llandovery,http://www.ukbmd.org.uk/reg/districts/llandovery.html
