parish,county,from_year,to_year,comments,district,source_url
Abdon,Shropshire,1837,2005,"See Table 2, notes (h) and (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Acton Scott,Shropshire,1935,2005,"See Table 2, notes (f) and (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Ashford Bowdler,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Ashford Carbonel,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Aston,Herefordshire,1837,1933,"See Table 2, note (d).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Bitterley,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Boraston,Shropshire,1934,2005,"See Table 2, notes (e) and (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Bromfield,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Burford,Shropshire,1934,2005,"See Table 2, notes (e) and (g).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Burrington,Herefordshire,1837,1933,"See Table 2, note (d).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Caynham,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Church Stretton,Shropshire,1935,2005,"See Table 2, notes (f) and (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Clee St. Margaret,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Cold Weston,Shropshire,1837,1967,Abolished 1.4.1967 and added to the parish of Clee St. Margaret.,Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Craven Arms,Shropshire,1987,2005,"Created 1.4.1987 out of the parishes of Halford and Stokesay. 
    See also Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Culmington,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Diddlebury,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Downton,Herefordshire,1837,1933,"See Table 2, note (d).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
East Hamlet,Shropshire,1884,1987,"Created 25.3.1884 out of the parish of Stanton Lacy. Abolished 
    1.4.1987 and divided between the parishes of Bitterley, Bromfield, Ludford and Ludlow.",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Eaton under Heywood,Shropshire,1935,2005,"See Table 2, notes (f) and (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Elton,Herefordshire,1837,1933,"See Table 2, note (d).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Greete,Shropshire,1934,2005,"See Table 2, notes (e) and (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Halford,Shropshire,1837,1987,"Abolished 1.4.1987 and divided between the parishes of Craven 
    Arms, Sibdon Carwood and Wistanstow.",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Heath,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Holdgate,Shropshire,1837,1967,"Abolished 1.4.1967 and divided between the parishes of Tugford 
    and Munslow. See also Table 2, notes (a) and (c).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Hope Bagot,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Hope Bowdler,Shropshire,1935,2005,"See Table 2, notes (f) and (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Hopton Cangeford,Shropshire,1837,2005,"See Table 2, note (k).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Leinthall Starkes,Herefordshire,1837,1933,"See Table 2, note (d).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
Leintwardine,Herefordshire,1895,1933,"Created 30.9.1885 by renaming the parish of Leintwardine North 
    Side. See also Table 2, note (d).",Ludlow,http://www.ukbmd.org.uk/reg/districts/ludlow.html
