parish,county,from_year,to_year,comments,district,source_url
Barton in the Clay,Bedfordshire,1837,1956,Renamed 25.5.1956 to become the parish of Barton-le-Clay.,Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Barton-le-Clay,Bedfordshire,1956,1964,"Created 25.5.1956 by renaming the parish of Barton in the Clay. 
    See also Table 2, note (m).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Barton-le-Clay,Bedfordshire,1974,1997,"See Table 2, notes (n), (o) and (r).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Caddington,Bedfordshire,1837,1897,"On 30.9.1897 the part  in Hertfordshire 
    was transferred to Bedfordshire, so that thereafter Caddington was entirely in Bedfordshire. 
    See also Table 2, notes (b), (e), (f) and (m).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Dunstable,Bedfordshire,1837,1964,"See Table 2, note (m).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Eaton Bray,Bedfordshire,1837,1846,"See Table 2, notes (a), (j) and (m).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Flamstead,Hertfordshire,1897,1897,"That part which until 30.9.1897 formed parts of the parishes 
    of Hyde and Whipsnade. See also Table 2, note (b).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Flamstead,Hertfordshire,1907,1908,"That part which until 1.4.1907 formed part of the parish of 
    Hyde. See also Table 2, note (e).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Harpenden Rural,Hertfordshire,1907,1908,"That part which until 1.4.1907 formed part of the parish of 
    Hyde. See also Table 2, note (e).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Houghton Regis,Bedfordshire,1837,1964,"See Table 2, notes (b) and (m).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Humbershoe,Bedfordshire,1837,1897,"Abolished 30.9.1897 and added to the parish of Markyate. 
    See also Table 2, note (b).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Hyde,Bedfordshire,1896,1964,"Created 1.4.1896 out of the parish of Luton Rural. See also Table 
    2, notes (e), (f), (g), (h) and (m).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Hyde,Bedfordshire,1974,1997,"See Table 2, notes (n) and (r).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Kensworth,Hertfordshire,1837,1897,"Transferred from Hertfordshire to the county of Bedfordshire on 
    30.9.1897. See also Table 2, note (m).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Leagrave,Bedfordshire,1896,1928,"Created 1.4.1896 out of the parish of Luton Rural. Abolished 1.10.1928 
    and divided between the parishes of Luton, Houghton Regis and Sundon.",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Limbury,Bedfordshire,1896,1928,"Created 1.4.1896 out of the parish of Luton Rural. Abolished 1.10.1928 
    and divided between the parishes of Luton, Streatley with Sharpenhoe, Stopsley and Sundon.",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Luton,Bedfordshire,1837,1894,"Abolished 1894 to become the separate parishes of Luton Urban 
    and Luton Rural.",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Luton,Bedfordshire,1896,1974,"Created 1.4.1896 by renaming the parish of Luton Urban. Abolished 
    1.4.1974 to become an unparished area. See also Table 2, note (i).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Luton*,Bedfordshire,1974,,Unparished area which until 1.4.1974 formed the parish of Luton.,Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Luton Rural,Bedfordshire,1894,1896,"Created 1894 out of the rural part of the parish of Luton. Abolished 
    1.4.1896 and divided between the parishes of Leagrave, Stopsley, Hyde and Limbury.",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Luton Urban,Bedfordshire,1894,1896,"Created 1894 out of the part of the parish of Luton in the municipal 
    borough of Luton. Renamed 1.4.1896 to become the parish of Luton.",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Markyate,Hertfordshire,1897,1897,"Created 30.9.1897 out of the parishes of Caddington, 
    Flamstead, Houghton Regis and Humbershoe. See also Table 2, note (b).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Markyate,Hertfordshire,1907,1908,"That part which until 1.4.1907 formed part of the parish of 
    Caddington. See also Table 2, note (e).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Stopsley,Bedfordshire,1896,1933,"Created 1.4.1896 out of the parish of Luton Rural. Abolished 1.4.1933 
    and divided between the parishes of Luton, Hyde and Streatley with Sharpenhoe.",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Streatley,Bedfordshire,1974,1997,"See Table 2, notes (n) and (r).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Streatley with Sharpenhoe,Bedfordshire,1837,1964,"See Table 2, note (m).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Studham,Bedfordshire,1837,1964,"The part in Hertfordshire was transferred to Bedfordshire on 
    30.9.1897. 
    See also Table 2, notes (c), (d) and (m).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Sundon,Bedfordshire,1837,1964,"See Table 2, note (m).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Sundon,Bedfordshire,1974,1997,"See Table 2, notes (n), (q), (p) and (r).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Toddington,Bedfordshire,1935,1964,"See Table 2, notes (i), (k), (l) and (m).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Totternhoe,Bedfordshire,1837,1964,"See Table 2, note (m).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
Whipsnade,Bedfordshire,1837,1964,"The part in Hertfordshire 
    became part of the parish of Markyate on 30.9.1897. See also Table 2, notes (b) and (m).",Luton,http://www.ukbmd.org.uk/reg/districts/luton.html
