parish,county,from_year,to_year,comments,district,source_url
Bangor,Flintshire,1954,1974,"See Table 2, notes (a) and (b).",Maelor,http://www.ukbmd.org.uk/reg/districts/maelor.html
Bettisfield,Flintshire,1954,1974,"See Table 2, notes (a) and (b).",Maelor,http://www.ukbmd.org.uk/reg/districts/maelor.html
Bronington,Flintshire,1954,1974,"See Table 2, notes (a) and (b).",Maelor,http://www.ukbmd.org.uk/reg/districts/maelor.html
Halghton,Flintshire,1954,1974,"See Table 2, notes (a) and (b).",Maelor,http://www.ukbmd.org.uk/reg/districts/maelor.html
Hanmer,Flintshire,1954,1974,"See Table 2, notes (a) and (b).",Maelor,http://www.ukbmd.org.uk/reg/districts/maelor.html
Iscoyd,Flintshire,1954,1974,"See Table 2, notes (a) and (b).",Maelor,http://www.ukbmd.org.uk/reg/districts/maelor.html
Overton,Flintshire,1954,1974,"See Table 2, notes (a) and (b).",Maelor,http://www.ukbmd.org.uk/reg/districts/maelor.html
Penley,Flintshire,1954,1974,"See Table 2, notes (a) and (b).",Maelor,http://www.ukbmd.org.uk/reg/districts/maelor.html
Tybroughton,Flintshire,1954,1974,"See Table 2, notes (a) and (b).",Maelor,http://www.ukbmd.org.uk/reg/districts/maelor.html
Willington,Flintshire,1954,1974,"See Table 2, notes (a) and (b).",Maelor,http://www.ukbmd.org.uk/reg/districts/maelor.html
Worthenbury,Flintshire,1954,1974,"See Table 2, notes (a) and (b).",Maelor,http://www.ukbmd.org.uk/reg/districts/maelor.html
