parish,county,from_year,to_year,comments,district,source_url
Ashfield*,Nottinghamshire,1974,2012,"Only that part of the unparished area which until 1.4.1974 formed 
    the parishes of Kirkby in Ashfield and Sutton in Ashfield. See also Table 2, 
    notes (f) and (i).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Ault Hucknall,Derbyshire,1837,1936,"See Table 2, note (d).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Blackwell,Derbyshire,1837,1936,"See Table 2, note (d).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Blidworth,Nottinghamshire,1837,1936,"See Table 2, notes (c) and (e).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Blidworth,Nottinghamshire,1974,2012,"See Table 2, notes (g), (h) and (i).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Clipstone,Nottinghamshire,1974,2012,"See Table 2, notes (g) and (i).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Fulwood,Nottinghamshire,1837,1935,Abolished 1.4.1935 and added to the parish of Sutton in Ashfield.,Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Glapwell,Derbyshire,1837,1936,"See Table 2, note (d).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Haywood Oaks,Nottinghamshire,1837,1936,"See Table 2, note (e).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Haywood Oaks,Nottinghamshire,1974,1988,"Abolished 1.4.1988 and added to the parish of Blidworth. See 
    also Table 2, note (g).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Hucknall under Huthwaite,Nottinghamshire,1837,1935,Abolished 1.4.1935 and added to the parish of Sutton in Ashfield.,Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
King's Clipstone,Nottinghamshire,2012,2012,"Created 1.1.2012 out of the parish of Clipstone. See also Table 2, notes (g) and 
    (i).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Kirby in Ashfield,Nottinghamshire,1895,1895,"That part which untill 30.9.1895 formed part of the parish of Pinxton. 
    See also Table 2, note (a).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Lindhurst,Nottinghamshire,1837,1936,"See Table 2, note (e).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Lindhurst,Nottinghamshire,1974,2012,"See Table 2, notes (g) and (i).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Mansfield,Nottinghamshire,1837,1974,"Abolished 1.4.1974 and added to the Mansfield unparished 
    area.",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Mansfield*,Nottinghamshire,1974,2012,"Unparished area which until 1.4.1974 formed the parishes of Mansfield 
    and Mansfield Woodhouse. See also Table 2, note (i).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Mansfield Woodhouse,Nottinghamshire,1837,1974,"Abolished 1.4.1974 and added to the Mansfield unparished 
    area.",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Newstead,Nottinghamshire,1935,1936,"That part which untill 1.4.1935 formed part of the parish of Blidworth. 
    See also Table 2, note (c).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Pinxton,Derbyshire,1837,1936,"On 30.9.1895 the part in Nottinghamshire was transferred to Derbyshire, so that thereafter Pinxton was 
    entorely in Derbyshire. 
    See also Table 2, notes (a), (b) and (d).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Pleasley,Derbyshire,1837,1936,"See Table 2, note (d).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Rainworth,Nottinghamshire,1988,2012,"Created 1.4.1988 out of the parishes of Blidworth, Farnsfield and Rufford. See also Table 2, note (i).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Scarcliffe,Derbyshire,1837,1936,"See Table 2, note (d).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Shirebrook,Derbyshire,1904,1936,"Created 1.4.1904 out of the parish of Pleasley. See also Table 
    2, note (d).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Skegby,Nottinghamshire,1837,1935,Abolished 1.4.1935 and added to the parish of Sutton in Ashfield.,Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Sookholme,Nottinghamshire,1837,1935,Abolished 1.4.1935 and added to the parish of Warsop.,Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
South Normanton,Derbyshire,1837,1936,"See Table 2, note (d).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Sutton in Ashfield,Nottinghamshire,1837,1974,Abolished 1.4.1974 to become part the Ashfield unparished area.,Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Teversal,Nottinghamshire,1837,1935,Abolished 1.4.1935 and added to the parish of Sutton in Ashfield.,Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Tibshelf,Derbyshire,1837,1936,"See Table 2, note (d).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Upper Langwith,Derbyshire,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Scarcliffe 
    and Shirebrook.",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
Warsop,Nottinghamshire,1837,2012,"See Table 2, note (i).",Mansfield,http://www.ukbmd.org.uk/reg/districts/mansfield.html
