parish,county,from_year,to_year,comments,district,source_url
Atterton,Leicestershire,1932,1935,"Abolished 1.4.1935 and added to the parish of Witherley. 
    See also Table 2, note (g).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Bagworth,Leicestershire,1837,1974,"See Table 2, note (o).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Barlestone,Leicestershire,1837,1974,"See Table 2, note (p).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Barton in the Beans,Leicestershire,1837,1935,Abolished 1.4.1935 and added to the parish of Shackerstone.,Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Bilstone,Leicestershire,1837,1935,Abolished 1.4.1935 and added to the parish of Shackerstone.,Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Cadeby,Leicestershire,1837,1974,"See Table 2, note (p).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Carlton,Leicestershire,1837,1974,"See Table 2, note (p).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Coalville,Leicestershire,1936,1949,"That part which until 1.4.1936 formed part of the parish of Ibstock. 
    See also Table 2, note (k).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Congerstone,Leicestershire,1837,1935,Abolished 1.4.1935 and added to the parish of Shackerstone.,Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Dadlington,Leicestershire,1837,1935,Abolished 1.4.1935 and added to the parish of Sutton Cheney.,Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Desford,Leicestershire,1837,1974,"See Table 2, note (q).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Fenny Drayton,Leicestershire,1932,1935,"Abolished 1.4.1935 and divided between the parishes of Witherley, 
    Hartshill, Mancetter and Caldecote. See also Table 2, notes (g) and (h).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Gopsall,Leicestershire,1837,1935,Abolished 1.4.1935 and added to the parish of Twycross.,Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Groby,Leicestershire,1896,1974,"Created 1.4.1896 out of the parish of Ratby. See also Table 2, 
    notes (j), (n) and (q).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Higham on the Hill,Leicestershire,1949,1974,"See Table 2, notes (m) and (p).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Ibstock,Leicestershire,1837,1974,"See Table 2, notes (i), (k) and (o).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Kirkby Mallory,Leicestershire,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Glenfields 
    and Newbold Vardon.",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Market Bosworth,Leicestershire,1837,1974,"See Table 2, note (p).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Markfield,Leicestershire,1837,1974,"See Table 2, notes (c), (e), (i) and (o).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Nailstone,Leicestershire,1837,1974,"See Table 2, note (p).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Newbold Verdon,Leicestershire,1837,1974,"See Table 2, note (p).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Newtown Linford,Leicestershire,1935,1949,"That part which until 1.4.1935 formed part of the parish of 
    Groby. See also Table 2, note (n).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Norton juxta Twycross,Leicestershire,1837,1935,"Abolished 1.4.1935 and added to the parish of Twycross. See 
    also Table 2, notes (a) and (b).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Odstone,Leicestershire,1837,1935,Abolished 1.4.1935 and added to the parish of Shackerstone.,Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Orton on the Hill,Leicestershire,1837,1935,"Abolished 1.4.1935 and added to the parish of Twycross. See 
    also Table 2, note (d).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Osbaston,Leicestershire,1837,1974,"See Table 2, note (p).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
Peckleton,Leicestershire,1837,1974,"See Table 2, note (p).",Market Bosworth,http://www.ukbmd.org.uk/reg/districts/market%20bosworth.html
