parish,county,from_year,to_year,comments,district,source_url
Allexton,Leicestershire,1997,1999,"See Table 2, notes (i) and (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Arnesby,Leicestershire,1974,1999,"See Table 2, notes (h) and (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Arthingworth,Northamptonshire,1837,1936,"See Table 2, note (d).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Ashby Magna,Leicestershire,1974,1999,"See Table 2, notes (h) and (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Ashby Parva,Leicestershire,1974,1999,"See Table 2, notes (h) and (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Ashley,Northamptonshire,1837,1936,"See Table 2, note (e).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Billesdon,Leicestershire,1997,1999,"See Table 2, notes (i) and (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Bittesby,Leicestershire,1974,1999,"See Table 2, notes (h) and (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Bitteswell,Leicestershire,1974,1999,"See Table 2, notes (h) and (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Blaby,Leicestershire,1997,1999,"See Table 2, notes (i) and (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Blaston,Leicestershire,1934,1999,"See Table 2, notes (c) and (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Brampton Ash,Northamptonshire,1837,1936,"See Table 2, note (e).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Braunstone,Leicestershire,1997,1999,"See Table 2, notes (i) and (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Braybrooke,Northamptonshire,1837,1936,"See Table 2, note (e).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Bringhurst,Leicestershire,1934,1999,"See Table 2, notes (c) and (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Broughton Astley,Leicestershire,1974,1999,"See Table 2, notes (h) and (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Bruntingthorpe,Leicestershire,1974,1999,"See Table 2, notes (h) and (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
Burton Overy,Leicestershire,1997,1999,"See Table 2, notes (i) and (j).",Market Harborough,http://www.ukbmd.org.uk/reg/districts/market%20harborough.html
