parish,county,from_year,to_year,comments,district,source_url
Abney & Abney Grange,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Aldwark,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Ashford,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Bakewell,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Baslow & Bubnell,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Beeley,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Birchover,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Blackwell,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Bonsall,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Bradwell,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Brushfield,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Calver,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Chatsworth,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Chelmorton,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Cromford,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Curbar,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Darley,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Edensor,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Elton,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Eyam,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Eyam Woodlands,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Flagg,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
Foolow,Derbyshire,1837,1838,"See Table 2, note (a).",Matlock (1837-8),http://www.ukbmd.org.uk/reg/districts/matlock.html
