parish,county,from_year,to_year,comments,district,source_url
Bala,Merionethshire,1935,1974,"See Table 2, notes (a) and (d).",Merioneth East,http://www.ukbmd.org.uk/reg/districts/merioneth%20east.html
Bettws Gwerfil Goch,Merionethshire,1935,1974,"Abolished 1.4.1974 to become the community of Bettws Gwerfil Goch. 
    See also Table 2, notes (b) and (c).",Merioneth East,http://www.ukbmd.org.uk/reg/districts/merioneth%20east.html
Corwen,Merionethshire,1935,1974,"See Table 2, notes (b) and (c).",Merioneth East,http://www.ukbmd.org.uk/reg/districts/merioneth%20east.html
Gwyddelwern,Merionethshire,1935,1974,"See Table 2, notes (b) and (c).",Merioneth East,http://www.ukbmd.org.uk/reg/districts/merioneth%20east.html
Llandderfel,Merionethshire,1935,1974,"See Table 2, notes (a) and (d).",Merioneth East,http://www.ukbmd.org.uk/reg/districts/merioneth%20east.html
Llandrillo,Merionethshire,1935,1974,"See Table 2, notes (b) and (c).",Merioneth East,http://www.ukbmd.org.uk/reg/districts/merioneth%20east.html
Llanfor,Merionethshire,1935,1974,"See Table 2, notes (a) and (d).",Merioneth East,http://www.ukbmd.org.uk/reg/districts/merioneth%20east.html
Llangar,Merionethshire,1935,1974,"See Table 2, notes (b) and (c).",Merioneth East,http://www.ukbmd.org.uk/reg/districts/merioneth%20east.html
Llangower,Merionethshire,1935,1974,"See Table 2, notes (a) and (d).",Merioneth East,http://www.ukbmd.org.uk/reg/districts/merioneth%20east.html
Llansantffraid Glyn Dyfrdwy,Merionethshire,1935,1974,"Abolished 1.4.1974 to become the community of Llansaintffraid 
    Glyndyfrdwy. See also Table 2, notes (b) and (c).",Merioneth East,http://www.ukbmd.org.uk/reg/districts/merioneth%20east.html
Llanuwchllyn,Merionethshire,1935,1974,"See Table 2, notes (a) and (d).",Merioneth East,http://www.ukbmd.org.uk/reg/districts/merioneth%20east.html
Llanycil,Merionethshire,1935,1974,"See Table 2, notes (a) and (d).",Merioneth East,http://www.ukbmd.org.uk/reg/districts/merioneth%20east.html
