parish,county,from_year,to_year,comments,district,source_url
Eston,Yorkshire North Riding,1875,1934,"See Table 2, notes (a), (e) and (f).",Middlesbrough (1996 onw),http://www.ukbmd.org.uk/reg/districts/middlesbrough.html
Hemlington,Yorkshire North Riding,1875,1934,"See Table 2, notes (c) and (f).",Middlesbrough (1996 onw),http://www.ukbmd.org.uk/reg/districts/middlesbrough.html
Ingleby Barwick,Yorkshire North Riding,1875,1934,"See Table 2, notes (b) and (f).",Middlesbrough (1996 onw),http://www.ukbmd.org.uk/reg/districts/middlesbrough.html
Linthorpe,Yorkshire North Riding,1875,1913,"Abolished 9.11.1913 and divided between the parishes of 
      Middlesbrough and West Acklam. See also Table 2, notes (b) and (d).",Middlesbrough (1996 onw),http://www.ukbmd.org.uk/reg/districts/middlesbrough.html
Maltby,Yorkshire North Riding,1875,1934,"See Table 2, notes (b) and (f).",Middlesbrough (1996 onw),http://www.ukbmd.org.uk/reg/districts/middlesbrough.html
Marton,Yorkshire North Riding,1875,1934,"See Table 2, notes (c) and (f).",Middlesbrough (1996 onw),http://www.ukbmd.org.uk/reg/districts/middlesbrough.html
Middlesbrough,Yorkshire North Riding,1875,1968,"Abolished 1.4.1968 and added to the parish of 
      Teesside. See also Table 2, notes (b) and (g).",Middlesbrough (1996 onw),http://www.ukbmd.org.uk/reg/districts/middlesbrough.html
Normanby,Yorkshire North Riding,1875,1915,"Abolished 1.4.1915 and added to the parish of 
      Eston. See also Table 2, note (a).",Middlesbrough (1996 onw),http://www.ukbmd.org.uk/reg/districts/middlesbrough.html
Ormesby,Yorkshire North Riding,1875,1934,"See Table 2, notes (a) and (f).",Middlesbrough (1996 onw),http://www.ukbmd.org.uk/reg/districts/middlesbrough.html
Stainton,Yorkshire North Riding,1875,1934,"See Table 2, notes (b) and (f).",Middlesbrough (1996 onw),http://www.ukbmd.org.uk/reg/districts/middlesbrough.html
Stockton-on-Tees,Durham,1895,1895,"That part which until 30.9.1895 formed part of the parish of 
    Linthorpe. See also Table 2, notes (d).",Middlesbrough (1996 onw),http://www.ukbmd.org.uk/reg/districts/middlesbrough.html
Thornaby,Yorkshire North Riding,1875,1934,"See Table 2, notes (b) and (f).",Middlesbrough (1996 onw),http://www.ukbmd.org.uk/reg/districts/middlesbrough.html
West Acklam,Yorkshire North Riding,1875,1932,"Abolished 1.4.1932 and divided between the parishes of 
    Middlesbrough, Hemlington and Marton. See also Table 2, note (b).",Middlesbrough (1996 onw),http://www.ukbmd.org.uk/reg/districts/middlesbrough.html
