parish,county,from_year,to_year,comments,district,source_url
Ashford,Middlesex,1947,1965,"Transferred from Middlesex to Surrey on 1.4.1965. See also Table 
    2, notes (b) and (e).",Middlesex South,http://www.ukbmd.org.uk/reg/districts/middlesex%20south.html
East Bedfont,Middlesex,1947,1965,"Abolished 1.4.1965 and added to the London borough of Hounslow. 
    See also Table 2, notes (b) and (c).",Middlesex South,http://www.ukbmd.org.uk/reg/districts/middlesex%20south.html
Feltham,Middlesex,1947,1965,"Abolished 1.4.1965 and added to the London borough of Hounslow. 
    See also Table 2, notes (b) and (c).",Middlesex South,http://www.ukbmd.org.uk/reg/districts/middlesex%20south.html
Hanworth,Middlesex,1947,1965,"Abolished 1.4.1965 and added to the London borough of Hounslow. 
    See also Table 2, notes (b) and (c).",Middlesex South,http://www.ukbmd.org.uk/reg/districts/middlesex%20south.html
Laleham,Middlesex,1947,1965,"Transferred from Middlesex to Surrey on 1.4.1965. See also Table 
    2, notes (b) and (e).",Middlesex South,http://www.ukbmd.org.uk/reg/districts/middlesex%20south.html
Littleton,Middlesex,1947,1965,"Transferred from Middlesex to Surrey on 1.4.1965. See also Table 
    2, notes (b) and (e).",Middlesex South,http://www.ukbmd.org.uk/reg/districts/middlesex%20south.html
Shepperton,Middlesex,1947,1965,"Transferred from Middlesex to Surrey on 1.4.1965. See also Table 
    2, notes (b) and (e).",Middlesex South,http://www.ukbmd.org.uk/reg/districts/middlesex%20south.html
Staines,Middlesex,1947,1965,"Transferred from Middlesex to Surrey on 1.4.1965. See also Table 
    2, notes (b) and (e).",Middlesex South,http://www.ukbmd.org.uk/reg/districts/middlesex%20south.html
Stanwell,Middlesex,1947,1965,"Transferred from Middlesex to Surrey on 1.4.1965. See also Table 
    2, notes (b) and (e).",Middlesex South,http://www.ukbmd.org.uk/reg/districts/middlesex%20south.html
Sunbury,Middlesex,1947,1965,"Transferred from Middlesex to Surrey on 1.4.1965. See also Table 
    2, notes (b) and (e).",Middlesex South,http://www.ukbmd.org.uk/reg/districts/middlesex%20south.html
Twickenham,Middlesex,1947,1965,"Abolished 1.4.1965 and added to the London borough of Richmond 
    upon Thames. See also Table 2, notes (a), (b) and (d).",Middlesex South,http://www.ukbmd.org.uk/reg/districts/middlesex%20south.html
