parish,county,from_year,to_year,comments,district,source_url
Ashby,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Barnby,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Belton,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Blundeston,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Bradwell,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Burgh Castle,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Carlton Colville,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Corton,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Flixton,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Fritton,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Gisleham,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Gorleston,Suffolk,1837,1889,"See Table 2, note (a).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Gunton,Suffolk,1837,1889,Abolished 1.4.1934 and added to the parish of Lowestoft.,Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Herringfleet,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Hopton,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Kessingland,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Kirkley,Suffolk,1837,1889,Abolished 1.4.1907 and added to the parish of Lowestoft.,Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Lound,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Lowestoft,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Mutford,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Oulton,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Oulton Broad,East Suffolk,1904,1919,"Created 1.4.1904 out of the parishes of Carlton Colville and Oulton. 
    Abolished 9.11.1919 and added to the parish of Lowestoft.",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Pakefield,Suffolk,1837,1889,"Abolished 1.4.1934 and divided between the parishes of Lowestoft, 
    Gisleham and Carlton Colville.",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Rushmere,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
Somerleyton,Suffolk,1837,1889,"See Table 2, note (b).",Mutford,http://www.ukbmd.org.uk/reg/districts/mutford.html
