parish,county,from_year,to_year,comments,district,source_url
Amroth,Pembrokeshire,1837,1973,"See Table 2, note (d).",Narberth,http://www.ukbmd.org.uk/reg/districts/narberth.html
Bayvil,Pembrokeshire,1936,1973,"See Table 2, notes (b) and (d).",Narberth,http://www.ukbmd.org.uk/reg/districts/narberth.html
Begelly,Pembrokeshire,1837,1973,"See Table 2, note (d).",Narberth,http://www.ukbmd.org.uk/reg/districts/narberth.html
Bletherston,Pembrokeshire,1837,1973,"See Table 2, note (d).",Narberth,http://www.ukbmd.org.uk/reg/districts/narberth.html
Bridell,Pembrokeshire,1936,1973,"See Table 2, notes (b) and (d).",Narberth,http://www.ukbmd.org.uk/reg/districts/narberth.html
Capel Colman,Pembrokeshire,1936,1973,"See Table 2, notes (c) and (d).",Narberth,http://www.ukbmd.org.uk/reg/districts/narberth.html
Castellan,Pembrokeshire,1936,1973,"See Table 2, notes (c) and (d).",Narberth,http://www.ukbmd.org.uk/reg/districts/narberth.html
Castelldwyran,Carmarthenshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Llandissilio 
    East.",Narberth,http://www.ukbmd.org.uk/reg/districts/narberth.html
Cilgerran,Pembrokeshire,1936,1973,"See Table 2, notes (b) and (d).",Narberth,http://www.ukbmd.org.uk/reg/districts/narberth.html
Cilymaenllwyd,Carmarthenshire,1837,1935,"See Table 2, note (a).",Narberth,http://www.ukbmd.org.uk/reg/districts/narberth.html
Clarbeston,Pembrokeshire,1837,1973,"See Table 2, note (d).",Narberth,http://www.ukbmd.org.uk/reg/districts/narberth.html
Clydey,Pembrokeshire,1936,1973,"See Table 2, notes (c) and (d).",Narberth,http://www.ukbmd.org.uk/reg/districts/narberth.html
Coedcanlas,Pembrokeshire,1837,1973,"See Table 2, note (d).",Narberth,http://www.ukbmd.org.uk/reg/districts/narberth.html
Crinow,Pembrokeshire,1837,1973,"See Table 2, note (d).",Narberth,http://www.ukbmd.org.uk/reg/districts/narberth.html
